"","Codes","Cantons","Tasa_2014","Tasa_2015","Tasa_2016","Tasa_2017","Tasa_2018","Tasa_2019","Tasa_2020","Tasa_2021"
"68","0806","Atacames",0,163.155425937634,21.86052981975,56.1939271804213,20.7943439384487,402.251130178061,84.692314622939,79.23232678933
"69","0802","Eloy Alfaro",25.4771169168056,4.58326649403029,9.07502779227261,8.98937006989235,15.5919367412852,311.450786358014,63.5560717964452,65.269890999282
"70","0801","Esmeraldas",55.2598667946369,21.5708362294178,14.7035805590206,7.98301964762012,17.2113036399581,249.883587443119,48.4622383153429,108.409197091549
"71","0803","Muisne",92.2083909635777,88.4318092493122,6.51890482398957,9.73678231800331,6.46705037832245,235.294117647059,22.5036970359416,28.8720646734249
"72","0804","Quinindé",16.2995562075378,48.2015702026657,48.2618529670235,8.53060354020047,4.21164942230209,115.812979375581,89.1149514323515,106.435626783814
"73","0807","Río Verde",0,0,0,0,0,0,0,0
"74","0805","San Lorenzo",35.4840617422674,56.9973781206065,14.6563095412575,15.9094926639562,10.2396067990989,140.120668622861,55.7573440387434,78.5594356043685
"75","2002","Isabela",0,0,0,0,0,0,0,0
"76","2001","San Cristóbal",47.0976097963028,172.552628551708,11.2485939257593,0,10.7781849536538,0,0,81.1112237655886
"77","2003","Santa Cruz",28.3784550769056,116.214720531267,0,10.546854400675,0,0,93.5868387351,48.1834827021297
"78","0902","Alfredo Baquerizo Moreno",0,0,0,0,0,0,0,0
"79","0903","Balao",0,0,0,0,0,0,0,0
"80","0904","Balzar",6.9021448415095,5.13857010722483,6.8036467546605,3.37917750819451,1.67889461578497,10.0131840256338,63.0600730169267,42.9170380641115
"81","0905","Colimes",0,0,0,0,0,0,0,0
"82","0923","Coronel Marcelino Maridueña",23.4082397003745,0,7.72916988715412,0,0,15.2788388082506,0,7.59301442672741
"83","0906","Daule",2.10841468299985,2.03778044953437,1.31340460742336,1.27027679331326,0.614499735765114,1.18945665619945,1.72727482093918,8.36414125361749
"84","0907","Durán",4.79554383311507,7.18659269267255,0.700258045089616,0.341291104247368,0.332791991693512,0.649226284575357,2.85059102253867,7.11059447661387
"85","0908","El Empalme",22.2156398104265,120.856985900018,140.118617657362,35.8684345819534,29.5956056444739,29.3138220533746,60.4138347681619,36.8464080509402
"86","0909","El Triunfo",97.3141300116777,43.6291898249142,16.6447818608866,7.21513735817746,1.75985076465516,1.71759330825647,8.38419746461869,4.91328059745492
"87","0927","General Antonio Elizalde",0,0,0,0,0,0,0,0
"88","0901","Guayaquil",37.2192204272204,58.9750848611691,9.09317022682111,4.91513638936349,1.60940129897399,19.1617956047956,64.5453827838593,90.7366733694412
"89","0928","Isidro Ayora",7.99616184231569,0,0,0,0,0,13.7155397064874,0
