Source,Target,Type,Id,Label,timeset,Weight
1,91,Directed,47086,,,0.1
1,82,Directed,47078,,,1.254196
1,77,Directed,47073,,,0.378964
1,76,Directed,47072,,,0.191123
1,74,Directed,47070,,,0.242517
1,69,Directed,47065,,,0.090909
1,64,Directed,47060,,,1.315883
1,62,Directed,47058,,,0.332421
1,53,Directed,47049,,,0.366919
1,51,Directed,47047,,,2.2267
1,49,Directed,47045,,,0.41519
1,40,Directed,47036,,,0.75002
1,27,Directed,47023,,,2.043514
1,10,Directed,47006,,,3.149562
1,2,Directed,46998,,,2.029777
91,1,Directed,53908,,,0.025
82,1,Directed,53394,,,0.672819
77,1,Directed,53111,,,0.238788
76,1,Directed,53053,,,0.042572
74,1,Directed,52950,,,0.160884
69,1,Directed,52698,,,0.090909
64,1,Directed,52289,,,0.42451
62,1,Directed,52138,,,0.118016
53,1,Directed,51473,,,0.203817
51,1,Directed,51335,,,0.926389
49,1,Directed,51163,,,0.218542
40,1,Directed,50447,,,0.353608
27,1,Directed,49352,,,1.86042
10,1,Directed,47843,,,7.700855
2,1,Directed,47091,,,2.671843
2,91,Directed,47178,,,0.075
2,90,Directed,47177,,,0.125
2,82,Directed,47169,,,1.627748
2,77,Directed,47164,,,0.278609
2,76,Directed,47163,,,0.0625
2,74,Directed,47162,,,0.22619
2,64,Directed,47153,,,1.261507
2,62,Directed,47151,,,0.22619
2,53,Directed,47142,,,0.404084
2,51,Directed,47140,,,1.851469
2,49,Directed,47138,,,0.558619
2,40,Directed,47129,,,0.270006
2,27,Directed,47116,,,1.681352
2,10,Directed,47099,,,2.85815
91,2,Directed,53909,,,0.025
90,2,Directed,53876,,,0.03125
82,2,Directed,53395,,,0.673493
77,2,Directed,53112,,,0.218788
76,2,Directed,53054,,,0.020833
74,2,Directed,52951,,,0.140476
64,2,Directed,52290,,,0.47039
62,2,Directed,52139,,,0.070238
53,2,Directed,51474,,,0.144993
51,2,Directed,51336,,,0.843378
49,2,Directed,51164,,,0.207954
40,2,Directed,50448,,,0.181999
27,2,Directed,49353,,,1.324073
10,2,Directed,47844,,,5.945869
10,91,Directed,47932,,,0.025
10,90,Directed,47931,,,0.09375
10,82,Directed,47923,,,1.88834
10,77,Directed,47918,,,1.324944
10,76,Directed,47917,,,0.213768
10,74,Directed,47915,,,1.692517
10,69,Directed,47910,,,1.181818
10,64,Directed,47905,,,2.357169
10,62,Directed,47903,,,0.678254
10,53,Directed,47894,,,0.601631
10,51,Directed,47892,,,3.899599
10,49,Directed,47890,,,0.967501
10,40,Directed,47881,,,1.436077
10,27,Directed,47868,,,6.124258
91,10,Directed,53917,,,0.025
90,10,Directed,53883,,,0.03125
82,10,Directed,53403,,,0.665874
77,10,Directed,53120,,,0.265815
76,10,Directed,53062,,,0.042572
74,10,Directed,52959,,,0.160884
69,10,Directed,52704,,,0.090909
64,10,Directed,52298,,,0.567187
62,10,Directed,52147,,,0.118016
53,10,Directed,51482,,,0.203817
51,10,Directed,51344,,,1.084806
49,10,Directed,51172,,,0.274981
40,10,Directed,50456,,,0.380635
27,10,Directed,49361,,,2.247653
27,82,Directed,49428,,,0.478522
27,77,Directed,49425,,,0.215648
27,76,Directed,49424,,,0.021739
27,74,Directed,49422,,,0.110204
27,69,Directed,49418,,,0.090909
27,64,Directed,49413,,,0.550105
27,62,Directed,49411,,,0.160516
27,53,Directed,49403,,,0.337699
27,51,Directed,49401,,,1.043638
27,49,Directed,49399,,,0.129411
27,40,Directed,49390,,,0.402699
82,27,Directed,53420,,,0.320146
77,27,Directed,53136,,,0.198379
76,27,Directed,53076,,,0.021739
74,27,Directed,52975,,,0.077551
69,27,Directed,52707,,,0.090909
64,27,Directed,52315,,,0.334413
62,27,Directed,52163,,,0.077183
53,27,Directed,51497,,,0.224679
51,27,Directed,51361,,,0.687092
49,27,Directed,51189,,,0.14356
40,27,Directed,50473,,,0.310473
40,82,Directed,50519,,,0.04898
40,77,Directed,50515,,,0.068712
40,74,Directed,50514,,,0.040816
40,64,Directed,50506,,,0.082483
40,62,Directed,50504,,,0.020833
40,53,Directed,50496,,,0.127005
40,51,Directed,50494,,,0.175023
40,49,Directed,50492,,,0.116042
82,40,Directed,53433,,,0.04898
77,40,Directed,53147,,,0.111265
74,40,Directed,52984,,,0.020408
64,40,Directed,52328,,,0.041241
62,40,Directed,52176,,,0.020833
53,40,Directed,51508,,,0.104278
51,40,Directed,51374,,,0.21584
49,40,Directed,51202,,,0.114148
49,82,Directed,51234,,,0.131421
49,77,Directed,51232,,,0.067027
49,76,Directed,51231,,,0.041667
49,64,Directed,51224,,,0.064394
49,62,Directed,51222,,,0.123333
49,53,Directed,51213,,,0.068182
49,51,Directed,51212,,,0.146061
82,49,Directed,53442,,,0.158448
77,49,Directed,53156,,,0.047027
76,49,Directed,53095,,,0.020833
64,49,Directed,52337,,,0.089015
62,49,Directed,52185,,,0.061667
53,49,Directed,51515,,,0.068182
51,49,Directed,51383,,,0.105227
51,91,Directed,51418,,,0.025
51,82,Directed,51411,,,0.332109
51,77,Directed,51406,,,0.195366
51,76,Directed,51405,,,0.020833
51,74,Directed,51404,,,0.089796
51,64,Directed,51396,,,0.535417
