Source,Target,Type,Id,Label,timeset,Weight
10,75,Directed,32606,,,0.642857
10,70,Directed,32601,,,0.429348
10,68,Directed,32599,,,0.282051
10,62,Directed,32593,,,1.961444
10,61,Directed,32592,,,1.66092
10,57,Directed,32588,,,2.827311
10,56,Directed,32587,,,0.309814
10,55,Directed,32586,,,1.792889
10,54,Directed,32585,,,3.583311
10,48,Directed,32579,,,0.095238
10,28,Directed,32559,,,4.140024
10,23,Directed,32554,,,4.710618
10,19,Directed,32550,,,4.627392
75,10,Directed,36961,,,0.103175
70,10,Directed,36745,,,0.105978
68,10,Directed,36660,,,0.025641
62,10,Directed,36288,,,1.01207
61,10,Directed,36215,,,0.604055
57,10,Directed,35940,,,0.702385
56,10,Directed,35881,,,0.131097
55,10,Directed,35811,,,0.54698
54,10,Directed,35731,,,2.186977
48,10,Directed,35335,,,0.047619
28,10,Directed,33908,,,1.662126
23,10,Directed,33553,,,2.15431
19,10,Directed,33248,,,1.505304
19,81,Directed,33314,,,0.157895
19,75,Directed,33309,,,0.095238
19,70,Directed,33306,,,0.130435
19,68,Directed,33305,,,0.025641
19,62,Directed,33299,,,0.817557
19,61,Directed,33298,,,0.534599
19,57,Directed,33294,,,0.83529
19,56,Directed,33293,,,0.309151
19,55,Directed,33292,,,0.703225
19,54,Directed,33291,,,1.341738
19,48,Directed,33285,,,0.08125
19,28,Directed,33265,,,1.19223
19,23,Directed,33260,,,0.85998
81,19,Directed,37271,,,0.052632
75,19,Directed,36968,,,0.047619
70,19,Directed,36753,,,0.043478
68,19,Directed,36665,,,0.025641
62,19,Directed,36297,,,0.868105
61,19,Directed,36224,,,0.778148
57,19,Directed,35949,,,0.43184
56,19,Directed,35890,,,0.216519
55,19,Directed,35820,,,0.53515
54,19,Directed,35740,,,1.89465
48,19,Directed,35343,,,0.08125
28,19,Directed,33917,,,1.3315
23,19,Directed,33562,,,1.495706
23,75,Directed,33616,,,0.222222
23,70,Directed,33611,,,0.236413
23,62,Directed,33604,,,0.468049
23,61,Directed,33603,,,0.489105
23,57,Directed,33599,,,1.103039
23,56,Directed,33598,,,0.083478
23,55,Directed,33597,,,0.305054
23,54,Directed,33596,,,1.454101
23,48,Directed,33590,,,0.105978
23,28,Directed,33570,,,1.507215
75,23,Directed,36971,,,0.055556
70,23,Directed,36756,,,0.105978
62,23,Directed,36301,,,0.406806
61,23,Directed,36228,,,0.592162
57,23,Directed,35953,,,0.434062
56,23,Directed,35892,,,0.083478
55,23,Directed,35824,,,0.200718
54,23,Directed,35744,,,1.799392
48,23,Directed,35346,,,0.074728
28,23,Directed,33921,,,1.057155
28,81,Directed,33976,,,0.052632
28,75,Directed,33971,,,0.095238
28,70,Directed,33967,,,0.125
28,68,Directed,33965,,,0.051282
28,62,Directed,33959,,,1.063584
28,61,Directed,33958,,,0.518589
28,57,Directed,33954,,,0.797077
28,56,Directed,33953,,,0.337813
28,55,Directed,33952,,,0.701361
28,54,Directed,33951,,,1.617661
28,48,Directed,33945,,,0.137228
81,28,Directed,37273,,,0.052632
75,28,Directed,36973,,,0.047619
70,28,Directed,36760,,,0.0625
68,28,Directed,36670,,,0.025641
62,28,Directed,36306,,,0.879785
61,28,Directed,36233,,,0.550954
57,28,Directed,35958,,,0.475211
56,28,Directed,35897,,,0.269593
55,28,Directed,35829,,,0.559868
54,28,Directed,35749,,,1.766802
48,28,Directed,35350,,,0.074728
48,62,Directed,35369,,,0.097619
48,61,Directed,35368,,,0.03125
48,57,Directed,35365,,,0.043478
48,54,Directed,35364,,,0.124728
62,48,Directed,36323,,,0.147619
61,48,Directed,36253,,,0.15625
57,48,Directed,35976,,,0.043478
54,48,Directed,35769,,,0.199457
54,75,Directed,35794,,,0.142857
54,70,Directed,35789,,,0.03125
54,62,Directed,35782,,,1.093649
54,61,Directed,35781,,,0.968083
54,57,Directed,35777,,,0.709331
54,56,Directed,35776,,,0.259885
54,55,Directed,35775,,,0.525533
75,54,Directed,36982,,,0.047619
70,54,Directed,36769,,,0.0625
62,54,Directed,36328,,,0.995657
61,54,Directed,36259,,,0.770901
57,54,Directed,35981,,,0.50399
56,54,Directed,35916,,,0.20433
55,54,Directed,35853,,,0.449272
55,81,Directed,35871,,,0.105263
55,68,Directed,35865,,,0.025641
55,62,Directed,35860,,,0.44138
55,61,Directed,35859,,,0.216647
55,57,Directed,35855,,,0.52303
55,56,Directed,35854,,,0.200501
81,55,Directed,37278,,,0.052632
68,55,Directed,36684,,,0.025641
62,55,Directed,36329,,,0.449705
61,55,Directed,36260,,,0.31978
57,55,Directed,35982,,,0.384548
56,55,Directed,35917,,,0.152882
56,81,Directed,35929,,,0.105263
56,62,Directed,35921,,,0.118875
56,61,Directed,35920,,,0.128933
56,57,Directed,35918,,,0.087619
81,56,Directed,37279,,,0.052632
62,56,Directed,36330,,,0.118875
61,56,Directed,36261,,,0.128933
57,56,Directed,35983,,,0.135238
57,75,Directed,35997,,,0.055556
57,70,Directed,35995,,,0.043478
57,68,Directed,35993,,,0.025641
57,62,Directed,35988,,,0.414529
57,61,Directed,35987,,,0.11829
75,57,Directed,36983,,,0.055556
70,57,Directed,36770,,,0.043478
68,57,Directed,36685,,,0.025641
62,57,Directed,36331,,,0.468292
61,57,Directed,36262,,,0.150548
61,62,Directed,36266,,,0.100621
62,61,Directed,36333,,,0.167288
62,75,Directed,36342,,,0.238095
62,70,Directed,36339,,,0.0625
62,68,Directed,36338,,,0.051282
75,62,Directed,36985,,,0.047619
70,62,Directed,36772,,,0.0625
68,62,Directed,36687,,,0.025641
