Source,Target,Type,Id,Label,timeset,Weight
44,79,Directed,45044,,,0.143372
44,78,Directed,45043,,,0.058824
44,60,Directed,45031,,,0.347495
44,59,Directed,45030,,,0.609751
44,57,Directed,45029,,,0.16388
44,53,Directed,45026,,,0.068966
44,51,Directed,45025,,,0.183345
44,50,Directed,45024,,,0.378144
44,49,Directed,45023,,,0.153933
44,48,Directed,45022,,,0.182817
44,47,Directed,45021,,,0.341004
44,46,Directed,45020,,,0.182817
44,45,Directed,45019,,,0.033333
79,44,Directed,46850,,,0.10491
78,44,Directed,46805,,,0.058824
60,44,Directed,45904,,,0.446623
59,44,Directed,45827,,,0.437773
57,44,Directed,45724,,,0.120401
53,44,Directed,45498,,,0.034483
51,44,Directed,45419,,,0.121084
50,44,Directed,45350,,,0.341371
49,44,Directed,45287,,,0.148862
48,44,Directed,45228,,,0.226295
47,44,Directed,45166,,,0.330859
46,44,Directed,45107,,,0.372075
45,44,Directed,45071,,,0.1
45,47,Directed,45072,,,0.1
47,45,Directed,45167,,,0.066667
46,79,Directed,45124,,,0.037037
46,78,Directed,45123,,,0.032258
46,60,Directed,45116,,,0.037037
46,59,Directed,45115,,,0.779333
46,57,Directed,45114,,,0.499649
46,51,Directed,45111,,,0.25
46,50,Directed,45110,,,0.624649
46,48,Directed,45109,,,0.997075
46,47,Directed,45108,,,1.367296
79,46,Directed,46851,,,0.037037
78,46,Directed,46806,,,0.032258
60,46,Directed,45905,,,0.074074
59,46,Directed,45828,,,0.361113
57,46,Directed,45725,,,0.200736
51,46,Directed,45420,,,0.0625
50,46,Directed,45351,,,0.138236
48,46,Directed,45229,,,0.413795
47,46,Directed,45168,,,0.88456
47,79,Directed,45192,,,0.106335
47,78,Directed,45191,,,0.106332
47,60,Directed,45178,,,0.055556
47,59,Directed,45177,,,1.57686
47,57,Directed,45175,,,0.260614
47,51,Directed,45172,,,0.358578
47,50,Directed,45171,,,0.469571
47,49,Directed,45170,,,0.134736
47,48,Directed,45169,,,1.07879
79,47,Directed,46852,,,0.067873
78,47,Directed,46807,,,0.069295
60,47,Directed,45906,,,0.055556
59,47,Directed,45829,,,0.737438
57,47,Directed,45726,,,0.368568
51,47,Directed,45421,,,0.158578
50,47,Directed,45352,,,0.519655
49,47,Directed,45288,,,0.127111
48,47,Directed,45230,,,0.720211
48,79,Directed,45249,,,0.037037
48,60,Directed,45238,,,0.037037
48,59,Directed,45237,,,0.609748
48,57,Directed,45236,,,0.255435
48,51,Directed,45233,,,0.191667
48,50,Directed,45232,,,0.255435
48,49,Directed,45231,,,0.0625
79,48,Directed,46853,,,0.037037
60,48,Directed,45907,,,0.074074
59,48,Directed,45830,,,0.415351
57,48,Directed,45727,,,0.168478
51,48,Directed,45422,,,0.129167
50,48,Directed,45353,,,0.137228
49,48,Directed,45289,,,0.03125
49,79,Directed,45307,,,0.058824
49,78,Directed,45306,,,0.037037
49,60,Directed,45296,,,0.055556
49,59,Directed,45295,,,0.121288
49,53,Directed,45292,,,0.034483
49,51,Directed,45291,,,0.148862
49,50,Directed,45290,,,0.158325
79,49,Directed,46854,,,0.029412
78,49,Directed,46808,,,0.037037
60,49,Directed,45908,,,0.055556
59,49,Directed,45831,,,0.121288
53,49,Directed,45499,,,0.034483
51,49,Directed,45423,,,0.091672
50,49,Directed,45354,,,0.310624
50,78,Directed,45376,,,0.180406
50,60,Directed,45363,,,0.682902
50,59,Directed,45362,,,0.5853
50,57,Directed,45360,,,0.166645
50,53,Directed,45356,,,0.103448
50,51,Directed,45355,,,0.319555
78,50,Directed,46809,,,0.069295
60,50,Directed,45909,,,0.948404
59,50,Directed,45832,,,0.611896
57,50,Directed,45728,,,0.166645
53,50,Directed,45500,,,0.034483
51,50,Directed,45424,,,0.173666
51,79,Directed,45443,,,0.029412
51,60,Directed,45431,,,0.156188
51,59,Directed,45430,,,0.34558
51,57,Directed,45429,,,0.0625
51,53,Directed,45426,,,0.034483
51,52,Directed,45425,,,0.064516
79,51,Directed,46855,,,0.029412
60,51,Directed,45910,,,0.279497
59,51,Directed,45833,,,0.443481
57,51,Directed,45729,,,0.125
53,51,Directed,45501,,,0.034483
52,51,Directed,45471,,,0.032258
52,60,Directed,45475,,,0.032258
52,59,Directed,45474,,,0.032258
60,52,Directed,45911,,,0.032258
59,52,Directed,45834,,,0.032258
53,59,Directed,45502,,,0.034483
59,53,Directed,45835,,,0.034483
57,79,Directed,45739,,,0.076923
57,78,Directed,45738,,,0.032258
57,59,Directed,45732,,,0.152659
79,57,Directed,46858,,,0.038462
78,57,Directed,46812,,,0.032258
59,57,Directed,45838,,,0.178714
59,79,Directed,45859,,,0.075499
59,78,Directed,45858,,,0.155598
59,60,Directed,45840,,,0.446915
79,59,Directed,46859,,,0.075499
78,59,Directed,46813,,,0.091082
60,59,Directed,45915,,,0.670565
60,79,Directed,45928,,,0.074074
60,78,Directed,45927,,,0.117647
79,60,Directed,46860,,,0.037037
78,60,Directed,46814,,,0.058824
