Source,Target,Type,Id,Label,timeset,Weight
24,70,Directed,60709,,,0.05
24,68,Directed,60708,,,0.05
24,32,Directed,60694,,,0.05
70,24,Directed,63494,,,0.05
68,24,Directed,63407,,,0.05
32,24,Directed,61126,,,0.2
25,78,Directed,60760,,,0.035714
25,70,Directed,60757,,,0.034483
25,69,Directed,60756,,,0.086957
25,32,Directed,60730,,,0.143114
25,31,Directed,60729,,,0.23007
78,25,Directed,63864,,,0.035714
70,25,Directed,63495,,,0.034483
69,25,Directed,63453,,,0.043478
32,25,Directed,61127,,,0.915538
31,25,Directed,61040,,,1.429455
31,78,Directed,61092,,,0.182773
31,77,Directed,61091,,,0.64588
31,75,Directed,61089,,,1.049519
31,72,Directed,61086,,,0.597025
31,71,Directed,61085,,,0.313725
31,70,Directed,61084,,,0.790906
31,69,Directed,61083,,,0.298563
31,68,Directed,61082,,,0.725962
31,48,Directed,61062,,,1.838514
31,32,Directed,61046,,,6.343637
78,31,Directed,63867,,,0.065126
77,31,Directed,63819,,,0.379213
75,31,Directed,63734,,,0.200962
72,31,Directed,63588,,,0.133369
71,31,Directed,63544,,,0.196078
70,31,Directed,63499,,,0.159728
69,31,Directed,63457,,,0.120509
68,31,Directed,63409,,,0.069712
48,31,Directed,62241,,,0.45171
32,31,Directed,61132,,,8.441691
32,78,Directed,61178,,,0.277311
32,77,Directed,61177,,,1.507318
32,75,Directed,61175,,,1.153846
32,72,Directed,61172,,,1.115269
32,71,Directed,61171,,,0.205882
32,70,Directed,61170,,,1.453014
32,69,Directed,61169,,,0.282913
32,68,Directed,61168,,,0.774519
32,48,Directed,61148,,,2.746075
78,32,Directed,63868,,,0.065126
77,32,Directed,63820,,,0.379213
75,32,Directed,63735,,,0.200962
72,32,Directed,63589,,,0.165627
71,32,Directed,63545,,,0.029412
70,32,Directed,63500,,,0.348617
69,32,Directed,63458,,,0.077031
68,32,Directed,63410,,,0.119712
48,32,Directed,62242,,,0.45171
48,78,Directed,62280,,,0.029412
48,77,Directed,62279,,,0.090523
48,75,Directed,62277,,,0.03125
48,72,Directed,62275,,,0.094444
48,71,Directed,62274,,,0.029412
48,70,Directed,62273,,,0.158578
48,69,Directed,62272,,,0.029412
48,68,Directed,62271,,,0.03125
78,48,Directed,63881,,,0.029412
77,48,Directed,63833,,,0.090523
75,48,Directed,63746,,,0.03125
72,48,Directed,63602,,,0.061111
71,48,Directed,63557,,,0.029412
70,48,Directed,63513,,,0.125245
69,48,Directed,63468,,,0.029412
68,48,Directed,63422,,,0.03125
68,75,Directed,63433,,,0.03125
68,70,Directed,63432,,,0.05
75,68,Directed,63755,,,0.03125
70,68,Directed,63526,,,0.05
69,77,Directed,63478,,,0.029412
69,70,Directed,63477,,,0.029412
77,69,Directed,63845,,,0.029412
70,69,Directed,63527,,,0.029412
70,77,Directed,63530,,,0.029412
70,72,Directed,63528,,,0.033333
77,70,Directed,63846,,,0.029412
72,70,Directed,63616,,,0.033333
71,78,Directed,63567,,,0.029412
78,71,Directed,63892,,,0.029412
72,77,Directed,63620,,,0.027778
77,72,Directed,63847,,,0.027778
