Source,Target,Type,Id,Label,timeset,Weight
60,76,Directed,25139,,,0.124521
60,75,Directed,25138,,,0.124521
60,74,Directed,25137,,,0.124521
60,73,Directed,25136,,,0.068966
60,72,Directed,25135,,,0.124521
60,65,Directed,25132,,,0.055556
60,63,Directed,25131,,,0.068966
60,62,Directed,25130,,,0.068966
76,60,Directed,26003,,,0.455939
75,60,Directed,25925,,,0.227969
74,60,Directed,25849,,,0.394636
73,60,Directed,25775,,,0.137931
72,60,Directed,25707,,,0.090038
65,60,Directed,25385,,,0.111111
63,60,Directed,25267,,,0.034483
62,60,Directed,25220,,,0.068966
61,76,Directed,25173,,,0.098925
61,75,Directed,25172,,,0.066667
61,74,Directed,25171,,,0.098925
61,73,Directed,25170,,,0.098925
61,72,Directed,25169,,,0.066667
61,67,Directed,25167,,,0.032258
61,65,Directed,25166,,,0.032258
76,61,Directed,26004,,,0.389247
75,61,Directed,25926,,,0.066667
74,61,Directed,25850,,,0.230108
73,61,Directed,25776,,,0.227957
72,61,Directed,25708,,,0.133333
67,61,Directed,25462,,,0.064516
65,61,Directed,25386,,,0.032258
62,76,Directed,25229,,,0.282654
62,75,Directed,25228,,,0.282654
62,74,Directed,25227,,,0.282654
62,73,Directed,25226,,,0.213359
62,72,Directed,25225,,,0.16574
62,65,Directed,25223,,,0.079877
62,64,Directed,25222,,,0.037037
62,63,Directed,25221,,,0.068966
76,62,Directed,26005,,,1.441943
75,62,Directed,25927,,,0.486119
74,62,Directed,25851,,,0.875435
73,62,Directed,25777,,,0.314582
72,62,Directed,25709,,,0.066741
65,62,Directed,25387,,,0.112135
64,62,Directed,25317,,,0.037037
63,62,Directed,25268,,,0.034483
63,76,Directed,25279,,,0.161877
63,75,Directed,25278,,,0.123416
63,74,Directed,25277,,,0.161877
63,73,Directed,25276,,,0.077961
63,72,Directed,25275,,,0.034483
63,67,Directed,25272,,,0.038462
63,66,Directed,25271,,,0.038462
63,65,Directed,25270,,,0.038462
63,64,Directed,25269,,,0.038462
76,63,Directed,26006,,,0.770489
75,63,Directed,25928,,,0.261347
74,63,Directed,25852,,,0.343286
73,63,Directed,25778,,,0.181409
72,63,Directed,25710,,,0.034483
67,63,Directed,25463,,,0.038462
66,63,Directed,25423,,,0.038462
65,63,Directed,25388,,,0.038462
64,63,Directed,25318,,,0.076923
64,76,Directed,25329,,,0.3209
64,75,Directed,25328,,,0.199105
64,74,Directed,25327,,,0.397823
64,73,Directed,25326,,,0.08194
64,72,Directed,25325,,,0.110145
64,67,Directed,25321,,,0.076923
64,66,Directed,25320,,,0.076923
64,65,Directed,25319,,,0.197324
76,64,Directed,26007,,,1.18709
75,64,Directed,25929,,,0.277809
74,64,Directed,25853,,,0.995494
73,64,Directed,25779,,,0.125418
72,64,Directed,25711,,,0.110145
67,64,Directed,25464,,,0.038462
66,64,Directed,25424,,,0.038462
65,64,Directed,25389,,,0.312709
65,77,Directed,25400,,,0.052632
65,76,Directed,25399,,,1.293451
65,75,Directed,25398,,,1.155182
65,74,Directed,25397,,,1.665821
65,73,Directed,25396,,,0.26982
65,72,Directed,25395,,,0.248606
65,67,Directed,25391,,,0.07072
65,66,Directed,25390,,,0.038462
77,65,Directed,26038,,,0.052632
76,65,Directed,26008,,,5.10205
75,65,Directed,25930,,,1.169889
74,65,Directed,25854,,,3.945122
73,65,Directed,25780,,,0.644351
72,65,Directed,25712,,,0.231512
67,65,Directed,25465,,,0.102978
66,65,Directed,25425,,,0.038462
66,76,Directed,25429,,,0.038462
66,74,Directed,25428,,,0.038462
66,67,Directed,25426,,,0.038462
76,66,Directed,26009,,,0.115385
74,66,Directed,25855,,,0.038462
67,66,Directed,25466,,,0.038462
67,76,Directed,25472,,,0.230924
67,75,Directed,25471,,,0.127946
67,74,Directed,25470,,,0.230924
67,73,Directed,25469,,,0.192462
67,72,Directed,25468,,,0.090909
76,67,Directed,26010,,,0.998571
75,67,Directed,25931,,,0.164983
74,67,Directed,25856,,,0.300219
73,67,Directed,25781,,,0.243782
72,67,Directed,25713,,,0.045455
72,76,Directed,25719,,,0.629673
72,75,Directed,25718,,,0.521486
72,74,Directed,25717,,,0.563006
72,73,Directed,25716,,,0.430527
76,72,Directed,26015,,,3.321937
75,72,Directed,25936,,,0.843333
74,72,Directed,25861,,,2.081207
73,72,Directed,25784,,,0.918673
73,76,Directed,25787,,,1.796642
73,75,Directed,25786,,,1.086364
73,74,Directed,25785,,,1.796642
76,73,Directed,26016,,,4.364167
75,73,Directed,25937,,,0.996034
74,73,Directed,25862,,,3.086495
74,77,Directed,25865,,,0.157895
74,76,Directed,25864,,,6.981533
74,75,Directed,25863,,,5.053483
77,74,Directed,26040,,,0.052632
76,74,Directed,26017,,,10.198285
75,74,Directed,25938,,,2.442259
75,76,Directed,25939,,,2.465336
76,75,Directed,26018,,,8.014427
76,77,Directed,26019,,,0.052632
77,76,Directed,26041,,,0.052632
