Source,Target,Type,Id,Label,timeset,Weight
5,69,Directed,17330,,,0.076923
5,67,Directed,17329,,,0.090909
5,62,Directed,17327,,,0.090909
5,52,Directed,17324,,,0.045455
5,25,Directed,17303,,,0.980433
5,12,Directed,17291,,,0.372701
69,5,Directed,19966,,,0.076923
67,5,Directed,19926,,,0.090909
62,5,Directed,19809,,,0.090909
52,5,Directed,19480,,,0.045455
25,5,Directed,18363,,,2.264349
12,5,Directed,17703,,,0.708366
12,69,Directed,17758,,,0.336032
12,67,Directed,17757,,,0.23445
12,56,Directed,17749,,,0.105263
12,52,Directed,17747,,,0.122378
12,25,Directed,17722,,,1.653191
12,16,Directed,17713,,,0.154589
69,12,Directed,19971,,,0.129555
67,12,Directed,19932,,,0.143541
56,12,Directed,19629,,,0.052632
52,12,Directed,19485,,,0.122378
25,12,Directed,18370,,,3.50758
16,12,Directed,17885,,,0.154589
16,25,Directed,17892,,,0.335145
25,16,Directed,18374,,,0.335145
25,69,Directed,18422,,,0.595142
25,68,Directed,18421,,,0.176471
25,67,Directed,18420,,,1.043062
25,56,Directed,18412,,,0.308612
25,52,Directed,18408,,,0.212121
25,46,Directed,18403,,,0.045455
69,25,Directed,19980,,,0.129555
68,25,Directed,19956,,,0.058824
67,25,Directed,19939,,,0.143541
56,25,Directed,19635,,,0.098086
52,25,Directed,19494,,,0.212121
46,25,Directed,19343,,,0.045455
46,56,Directed,19353,,,0.045455
56,46,Directed,19645,,,0.045455
