fid,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,DPA_VALOR,Shape_Leng,Shape_Area,lat,lon,,Region
130,1209,PALENQUE,12,LOS RIOS,2010,0,177337.1775,579587183.5,-1.334,-79.715,,Coast
131,1210,BUENA FE,12,LOS RIOS,2010,0,218192.4869,581267263.2,-0.722,-79.482,,Coast
132,1211,VALENCIA,12,LOS RIOS,2010,0,198218.1142,977938769.6,-0.777,-79.307,,Coast
133,1212,MOCACHE,12,LOS RIOS,2010,0,168777.9148,567989820.2,-1.19,-79.55,,Coast
134,1213,QUINSALOMA,12,LOS RIOS,2010,0,145520.9129,282983901.2,-1.14,-79.356,,Coast
135,1301,PORTOVIEJO,13,MANABI,2010,0,259722.1582,961775754.8,-1.041,-80.364,,Coast
136,1302,BOLIVAR,13,MANABI,2010,0,168691.0555,538230731.5,-0.91,-80.034,,Coast
137,1303,CHONE,13,MANABI,2010,0,566618.9144,3054554389,-0.604,-80.073,,Coast
138,1304,EL CARMEN,13,MANABI,2010,0,219595.9117,1266817920,-0.343,-79.563,,Coast
139,1305,FLAVIO ALFARO,13,MANABI,2010,0,248786.5174,1346903932,-0.325,-79.817,,Coast
140,1306,JIPIJAPA,13,MANABI,2010,0,306489.5835,1467961143,-1.445,-80.591,,Coast
141,1307,JUNIN,13,MANABI,2010,0,91832.13306,246141178.9,-0.942,-80.195,,Coast
142,1308,MANTA,13,MANABI,2010,0,96150.88984,292451216.9,-1.027,-80.803,,Coast
143,1309,MONTECRISTI,13,MANABI,2010,0,173901.5711,751319765.9,-1.128,-80.7,,Coast
144,1310,PAJAN,13,MANABI,2010,0,291523.7505,1088943165,-1.662,-80.398,,Coast
145,1311,PICHINCHA,13,MANABI,2010,0,232645.1171,1075186997,-0.822,-79.8,,Coast
146,1312,ROCAFUERTE,13,MANABI,2010,0,97353.46811,279799369.1,-0.906,-80.406,,Coast
147,1313,SANTA ANA,13,MANABI,2010,0,206910.6147,1026270715,-1.196,-80.212,,Coast
148,1314,SUCRE,13,MANABI,2010,0,231509.2881,676694776.4,-0.738,-80.424,,Coast
149,1315,TOSAGUA,13,MANABI,2010,0,115453.3355,376047940.3,-0.78,-80.271,,Coast
150,1316,24 DE MAYO,13,MANABI,2010,0,153990.3996,525338997.1,-1.383,-80.375,,Coast
151,1317,PEDERNALES,13,MANABI,2010,0,401551.3488,1904181373,0.096,-79.893,,Coast
152,1318,OLMEDO,13,MANABI,2010,0,95894.77369,253487146.3,-1.361,-80.214,,Coast
153,1319,PUERTO LOPEZ,13,MANABI,2010,0,134695.5529,430442897.3,-1.564,-80.751,,Coast
154,1320,JAMA,13,MANABI,2010,0,133913.6497,578880669.8,-0.221,-80.231,,Coast
155,1321,JARAMIJO,13,MANABI,2010,0,52008.66985,97104621.47,-0.976,-80.603,,Coast
