Source,Target,Type,Id,Label,timeset,Weight
1,83,Directed,31899,,,0.425926
1,82,Directed,31898,,,1.967503
1,79,Directed,31895,,,1.505362
1,77,Directed,31893,,,0.449495
1,73,Directed,31889,,,0.361111
1,72,Directed,31888,,,0.075
1,71,Directed,31887,,,1.027578
1,64,Directed,31880,,,2.217561
1,63,Directed,31879,,,3.417905
1,58,Directed,31874,,,5.192051
1,53,Directed,31869,,,3.637567
1,52,Directed,31868,,,0.127632
1,50,Directed,31866,,,3.627992
1,49,Directed,31865,,,4.94983
1,47,Directed,31863,,,1.691856
1,45,Directed,31861,,,1.777019
1,44,Directed,31860,,,0.939486
1,42,Directed,31858,,,4.164307
1,41,Directed,31857,,,1.891848
1,39,Directed,31855,,,0.908221
1,38,Directed,31854,,,7.408335
1,37,Directed,31853,,,1.509168
1,36,Directed,31852,,,5.208508
1,35,Directed,31851,,,4.091535
1,34,Directed,31850,,,0.428794
1,33,Directed,31849,,,3.538452
1,32,Directed,31848,,,0.908981
1,31,Directed,31847,,,7.240387
1,30,Directed,31846,,,2.854182
1,29,Directed,31845,,,1.301724
1,27,Directed,31843,,,1.539632
1,26,Directed,31842,,,4.146592
1,25,Directed,31841,,,0.513393
1,24,Directed,31840,,,4.225321
1,22,Directed,31838,,,2.300846
1,21,Directed,31837,,,4.818139
1,20,Directed,31836,,,2.821743
1,18,Directed,31834,,,6.74306
1,17,Directed,31833,,,4.366701
1,16,Directed,31832,,,3.576916
1,14,Directed,31830,,,4.395247
1,13,Directed,31829,,,6.209147
1,12,Directed,31828,,,6.670892
1,11,Directed,31827,,,6.130215
1,9,Directed,31825,,,5.527106
1,8,Directed,31824,,,3.03863
1,7,Directed,31823,,,7.455839
1,6,Directed,31822,,,6.737286
1,5,Directed,31821,,,7.760187
1,4,Directed,31820,,,3.506773
1,3,Directed,31819,,,3.537688
1,2,Directed,31818,,,7.760187
83,1,Directed,37343,,,0.157407
82,1,Directed,37281,,,0.230914
79,1,Directed,37136,,,0.451247
77,1,Directed,37052,,,0.080303
73,1,Directed,36875,,,0.027778
72,1,Directed,36835,,,0.025
71,1,Directed,36776,,,0.134259
64,1,Directed,36421,,,0.664841
63,1,Directed,36348,,,0.6511
58,1,Directed,36003,,,2.256207
53,1,Directed,35648,,,1.015888
52,1,Directed,35602,,,0.077632
50,1,Directed,35452,,,0.900021
49,1,Directed,35373,,,2.440174
47,1,Directed,35252,,,0.450827
45,1,Directed,35100,,,0.574867
44,1,Directed,35034,,,0.30233
42,1,Directed,34896,,,0.919703
41,1,Directed,34831,,,0.308232
39,1,Directed,34691,,,0.132519
38,1,Directed,34609,,,6.121435
37,1,Directed,34537,,,0.426313
36,1,Directed,34461,,,1.720509
35,1,Directed,34384,,,1.20746
34,1,Directed,34331,,,0.08715
33,1,Directed,34260,,,0.895084
32,1,Directed,34204,,,0.211229
31,1,Directed,34123,,,5.672991
30,1,Directed,34046,,,0.757255
29,1,Directed,33979,,,0.341695
27,1,Directed,33829,,,0.428205
26,1,Directed,33752,,,0.915958
25,1,Directed,33702,,,0.168155
24,1,Directed,33624,,,1.38112
22,1,Directed,33474,,,0.362756
21,1,Directed,33393,,,1.643473
20,1,Directed,33317,,,0.603221
18,1,Directed,33158,,,3.622329
17,1,Directed,33080,,,3.239274
16,1,Directed,33003,,,0.992514
14,1,Directed,32857,,,1.843377
13,1,Directed,32776,,,3.371744
12,1,Directed,32694,,,2.687375
11,1,Directed,32613,,,3.380224
9,1,Directed,32453,,,5.157898
8,1,Directed,32379,,,0.73416
7,1,Directed,32297,,,4.993551
6,1,Directed,32217,,,3.150747
5,1,Directed,32135,,,10.820654
4,1,Directed,32061,,,0.686498
3,1,Directed,31982,,,1.273663
2,1,Directed,31900,,,73.70583
2,83,Directed,31981,,,4.068122
2,82,Directed,31980,,,13.828971
2,79,Directed,31977,,,19.798457
2,77,Directed,31975,,,5.919697
2,73,Directed,31971,,,2.861111
2,72,Directed,31970,,,2.125
2,71,Directed,31969,,,11.488345
2,64,Directed,31962,,,30.220984
2,63,Directed,31961,,,36.209781
2,58,Directed,31956,,,50.795683
2,53,Directed,31951,,,44.823973
2,52,Directed,31950,,,3.388158
2,50,Directed,31948,,,35.632281
2,49,Directed,31947,,,56.646547
2,47,Directed,31945,,,22.928544
2,45,Directed,31943,,,22.165613
2,44,Directed,31942,,,11.449021
2,42,Directed,31940,,,43.345789
2,41,Directed,31939,,,22.744793
2,39,Directed,31937,,,9.730118
2,38,Directed,31936,,,74.736635
2,37,Directed,31935,,,19.199347
2,36,Directed,31934,,,53.61621
2,35,Directed,31933,,,39.514585
2,34,Directed,31932,,,5.188334
2,33,Directed,31931,,,36.153578
2,32,Directed,31930,,,10.493449
2,31,Directed,31929,,,74.630237
2,30,Directed,31928,,,35.131573
2,29,Directed,31927,,,16.644659
2,27,Directed,31925,,,14.041595
2,26,Directed,31924,,,41.981539
2,25,Directed,31923,,,5.17381
2,24,Directed,31922,,,48.433724
2,22,Directed,31920,,,25.851072
2,21,Directed,31919,,,48.093152
2,20,Directed,31918,,,30.220846
2,18,Directed,31916,,,67.280918
2,17,Directed,31915,,,51.433557
2,16,Directed,31914,,,40.082053
2,14,Directed,31912,,,42.966514
2,13,Directed,31911,,,65.686228
2,12,Directed,31910,,,65.980839
2,11,Directed,31909,,,63.561644
2,9,Directed,31907,,,58.041458
2,8,Directed,31906,,,35.564641
2,7,Directed,31905,,,74.087796
2,6,Directed,31904,,,67.577951
2,5,Directed,31903,,,76.532931
2,4,Directed,31902,,,35.425789
2,3,Directed,31901,,,36.176469
83,2,Directed,37344,,,0.205026
82,2,Directed,37282,,,0.230914
79,2,Directed,37137,,,0.51007
77,2,Directed,37053,,,0.080303
73,2,Directed,36876,,,0.027778
72,2,Directed,36836,,,0.025
71,2,Directed,36777,,,0.134259
64,2,Directed,36422,,,0.690482
63,2,Directed,36349,,,0.6511
58,2,Directed,36004,,,2.307489
53,2,Directed,35649,,,1.132811
52,2,Directed,35603,,,0.077632
50,2,Directed,35453,,,0.973282
49,2,Directed,35374,,,2.717499
47,2,Directed,35253,,,0.684673
45,2,Directed,35101,,,0.600508
44,2,Directed,35035,,,0.327971
42,2,Directed,34897,,,0.985344
41,2,Directed,34832,,,0.308232
39,2,Directed,34692,,,0.132519
38,2,Directed,34610,,,6.790423
37,2,Directed,34538,,,0.473932
36,2,Directed,34462,,,1.789628
35,2,Directed,34385,,,1.20746
34,2,Directed,34332,,,0.08715
33,2,Directed,34261,,,0.895084
32,2,Directed,34205,,,0.211229
31,2,Directed,34124,,,6.213419
30,2,Directed,34047,,,0.830516
29,2,Directed,33980,,,0.385173
27,2,Directed,33830,,,0.51267
26,2,Directed,33753,,,0.963577
25,2,Directed,33703,,,0.288155
24,2,Directed,33625,,,1.464598
22,2,Directed,33475,,,0.362756
21,2,Directed,33394,,,1.731092
20,2,Directed,33318,,,0.603221
18,2,Directed,33159,,,3.72123
17,2,Directed,33081,,,3.264915
16,2,Directed,33004,,,1.018155
14,2,Directed,32858,,,1.909018
13,2,Directed,32777,,,3.557602
12,2,Directed,32695,,,2.862937
11,2,Directed,32614,,,3.621427
9,2,Directed,32454,,,6.044584
8,2,Directed,32380,,,0.73416
7,2,Directed,32298,,,5.489838
6,2,Directed,32218,,,3.245507
5,2,Directed,32136,,,12.434361
4,2,Directed,32062,,,0.734117
3,2,Directed,31983,,,1.517542
3,83,Directed,32060,,,0.083333
3,82,Directed,32059,,,0.111111
3,79,Directed,32056,,,0.393637
3,77,Directed,32054,,,0.083333
3,73,Directed,32051,,,0.027778
3,72,Directed,32050,,,0.05
3,71,Directed,32049,,,0.129044
3,64,Directed,32044,,,0.633592
3,63,Directed,32043,,,0.472056
3,58,Directed,32038,,,0.907296
3,53,Directed,32033,,,0.7218
3,52,Directed,32032,,,0.05
3,50,Directed,32030,,,0.295384
3,49,Directed,32029,,,1.260447
3,47,Directed,32027,,,0.705493
3,45,Directed,32025,,,0.592776
3,44,Directed,32024,,,0.330723
3,42,Directed,32022,,,0.768123
3,41,Directed,32021,,,0.239616
3,39,Directed,32019,,,0.049451
3,38,Directed,32018,,,1.517542
3,37,Directed,32017,,,0.323887
3,36,Directed,32016,,,0.709175
3,35,Directed,32015,,,0.440032
3,34,Directed,32014,,,0.128591
3,33,Directed,32013,,,0.46991
3,32,Directed,32012,,,0.04881
3,31,Directed,32011,,,1.228946
3,30,Directed,32010,,,0.767826
3,29,Directed,32009,,,0.359678
3,27,Directed,32007,,,0.449802
3,26,Directed,32006,,,0.618139
3,25,Directed,32005,,,0.210952
3,24,Directed,32004,,,0.797385
3,22,Directed,32002,,,0.327137
3,21,Directed,32001,,,0.789043
3,20,Directed,32000,,,0.4062
3,18,Directed,31998,,,1.11437
3,17,Directed,31997,,,0.72305
3,16,Directed,31996,,,0.634558
3,14,Directed,31994,,,1.123695
3,13,Directed,31993,,,1.106794
3,12,Directed,31992,,,1.182573
3,11,Directed,31991,,,1.140752
3,9,Directed,31989,,,1.491901
3,8,Directed,31988,,,0.269599
3,7,Directed,31987,,,1.430586
3,6,Directed,31986,,,1.244465
3,5,Directed,31985,,,1.517542
3,4,Directed,31984,,,0.358561
83,3,Directed,37345,,,0.083333
82,3,Directed,37283,,,0.055556
79,3,Directed,37138,,,0.346922
77,3,Directed,37054,,,0.027778
73,3,Directed,36877,,,0.027778
72,3,Directed,36837,,,0.025
71,3,Directed,36778,,,0.080147
64,3,Directed,36423,,,0.53522
63,3,Directed,36350,,,0.377196
58,3,Directed,36005,,,1.170569
53,3,Directed,35650,,,0.651365
52,3,Directed,35604,,,0.025
50,3,Directed,35454,,,0.325298
49,3,Directed,35375,,,1.855595
47,3,Directed,35254,,,0.618006
45,3,Directed,35102,,,0.419185
44,3,Directed,35036,,,0.157042
42,3,Directed,34898,,,0.434537
41,3,Directed,34833,,,0.215813
39,3,Directed,34693,,,0.07326
38,3,Directed,34611,,,3.697517
37,3,Directed,34539,,,0.22182
36,3,Directed,34463,,,0.749789
35,3,Directed,34386,,,0.380581
34,3,Directed,34333,,,0.052668
33,3,Directed,34262,,,0.390434
32,3,Directed,34206,,,0.04881
31,3,Directed,34125,,,2.661467
30,3,Directed,34048,,,0.602936
29,3,Directed,33981,,,0.220879
27,3,Directed,33831,,,0.286952
26,3,Directed,33754,,,0.491488
25,3,Directed,33704,,,0.209286
24,3,Directed,33626,,,0.873266
22,3,Directed,33476,,,0.16444
21,3,Directed,33395,,,0.821725
20,3,Directed,33319,,,0.411866
18,3,Directed,33160,,,1.656458
17,3,Directed,33082,,,1.901001
16,3,Directed,33005,,,0.574807
14,3,Directed,32859,,,1.130624
13,3,Directed,32778,,,1.927542
12,3,Directed,32696,,,1.111109
11,3,Directed,32615,,,1.792585
9,3,Directed,32455,,,3.977161
8,3,Directed,32381,,,0.256081
7,3,Directed,32299,,,2.57183
6,3,Directed,32219,,,1.559978
5,3,Directed,32137,,,6.940725
4,3,Directed,32063,,,0.354201
4,83,Directed,32134,,,0.084656
4,82,Directed,32133,,,0.082583
4,79,Directed,32131,,,0.189922
4,77,Directed,32130,,,0.058081
4,73,Directed,32127,,,0.027778
4,71,Directed,32126,,,0.156237
4,64,Directed,32121,,,0.298003
4,63,Directed,32120,,,0.373787
4,58,Directed,32115,,,0.389044
4,53,Directed,32110,,,0.499588
4,50,Directed,32108,,,0.323323
4,49,Directed,32107,,,0.590433
4,47,Directed,32105,,,0.149935
4,45,Directed,32103,,,0.206982
4,44,Directed,32102,,,0.023256
4,42,Directed,32100,,,0.524415
4,41,Directed,32099,,,0.215865
4,39,Directed,32097,,,0.135938
4,38,Directed,32096,,,0.69708
4,37,Directed,32095,,,0.253803
4,36,Directed,32094,,,0.451333
4,35,Directed,32093,,,0.375473
4,33,Directed,32092,,,0.40535
4,32,Directed,32091,,,0.171693
4,31,Directed,32090,,,0.734117
4,30,Directed,32089,,,0.491601
4,29,Directed,32088,,,0.101178
4,27,Directed,32086,,,0.078869
4,26,Directed,32085,,,0.546
4,25,Directed,32084,,,0.09375
4,24,Directed,32083,,,0.603915
4,22,Directed,32081,,,0.348795
4,21,Directed,32080,,,0.532496
4,20,Directed,32079,,,0.350232
4,18,Directed,32077,,,0.60333
4,17,Directed,32076,,,0.562464
4,16,Directed,32075,,,0.297141
4,14,Directed,32073,,,0.280177
4,13,Directed,32072,,,0.69708
4,12,Directed,32071,,,0.686498
4,11,Directed,32070,,,0.706339
4,9,Directed,32068,,,0.538655
4,8,Directed,32067,,,0.488956
4,7,Directed,32066,,,0.686498
4,6,Directed,32065,,,0.686498
4,5,Directed,32064,,,0.734117
83,4,Directed,37346,,,0.121693
82,4,Directed,37284,,,0.082583
79,4,Directed,37139,,,0.166113
77,4,Directed,37055,,,0.058081
73,4,Directed,36878,,,0.027778
71,4,Directed,36779,,,0.108618
64,4,Directed,36424,,,0.298003
63,4,Directed,36351,,,0.310491
58,4,Directed,36006,,,0.732158
53,4,Directed,35651,,,0.534112
50,4,Directed,35455,,,0.390033
49,4,Directed,35376,,,1.076226
47,4,Directed,35255,,,0.148103
45,4,Directed,35103,,,0.157531
44,4,Directed,35037,,,0.023256
42,4,Directed,34899,,,0.363655
41,4,Directed,34834,,,0.196474
39,4,Directed,34694,,,0.110297
38,4,Directed,34612,,,2.266164
37,4,Directed,34540,,,0.191303
36,4,Directed,34464,,,0.758706
35,4,Directed,34387,,,0.373786
33,4,Directed,34263,,,0.333082
32,4,Directed,34207,,,0.122884
31,4,Directed,34126,,,2.527579
30,4,Directed,34049,,,0.48977
29,4,Directed,33982,,,0.100624
27,4,Directed,33832,,,0.102679
26,4,Directed,33755,,,0.518061
25,4,Directed,33705,,,0.03125
24,4,Directed,33627,,,0.688265
22,4,Directed,33477,,,0.213676
21,4,Directed,33396,,,0.752976
20,4,Directed,33320,,,0.358008
18,4,Directed,33161,,,1.009269
17,4,Directed,33083,,,2.000115
16,4,Directed,33006,,,0.256963
14,4,Directed,32860,,,0.306632
13,4,Directed,32779,,,1.555246
12,4,Directed,32697,,,1.365774
11,4,Directed,32616,,,1.620224
9,4,Directed,32456,,,1.076738
8,4,Directed,32382,,,0.528626
7,4,Directed,32300,,,1.630854
6,4,Directed,32220,,,1.649414
5,4,Directed,32138,,,3.143615
5,83,Directed,32216,,,0.683862
5,82,Directed,32215,,,1.154467
5,79,Directed,32212,,,2.725299
5,77,Directed,32210,,,0.774747
5,73,Directed,32206,,,0.138889
5,72,Directed,32205,,,0.2
5,71,Directed,32204,,,0.965053
5,64,Directed,32197,,,3.418906
5,63,Directed,32196,,,3.137268
5,58,Directed,32191,,,6.53655
5,53,Directed,32186,,,5.109077
5,52,Directed,32185,,,0.357895
5,50,Directed,32183,,,3.831027
5,49,Directed,32182,,,9.509088
5,47,Directed,32180,,,2.935299
5,45,Directed,32178,,,4.284388
5,44,Directed,32177,,,2.380988
5,42,Directed,32175,,,5.874716
5,41,Directed,32174,,,1.598139
5,39,Directed,32172,,,0.503093
5,38,Directed,32171,,,12.341768
5,37,Directed,32170,,,3.465453
5,36,Directed,32169,,,5.63628
5,35,Directed,32168,,,4.02035
5,34,Directed,32167,,,0.582527
5,33,Directed,32166,,,4.608105
5,32,Directed,32165,,,0.972842
5,31,Directed,32164,,,11.262557
5,30,Directed,32163,,,3.401773
5,29,Directed,32162,,,2.607088
5,27,Directed,32160,,,2.779517
5,26,Directed,32159,,,5.497978
5,25,Directed,32158,,,1.576905
5,24,Directed,32157,,,7.253925
5,22,Directed,32155,,,2.203182
5,21,Directed,32154,,,6.527049
5,20,Directed,32153,,,2.87814
5,18,Directed,32151,,,9.226717
5,17,Directed,32150,,,4.855265
5,16,Directed,32149,,,4.750884
5,14,Directed,32147,,,7.865444
5,13,Directed,32146,,,8.213643
5,12,Directed,32145,,,9.133613
5,11,Directed,32144,,,8.833416
5,9,Directed,32142,,,10.609476
5,8,Directed,32141,,,2.572726
5,7,Directed,32140,,,11.713864
5,6,Directed,32139,,,8.74966
83,5,Directed,37347,,,0.205026
82,5,Directed,37285,,,0.230914
79,5,Directed,37140,,,0.51007
77,5,Directed,37056,,,0.080303
73,5,Directed,36879,,,0.027778
72,5,Directed,36838,,,0.025
71,5,Directed,36780,,,0.134259
64,5,Directed,36425,,,0.690482
63,5,Directed,36352,,,0.6511
58,5,Directed,36007,,,2.307489
53,5,Directed,35652,,,1.132811
52,5,Directed,35605,,,0.077632
50,5,Directed,35456,,,0.973282
49,5,Directed,35377,,,2.717499
47,5,Directed,35256,,,0.684673
45,5,Directed,35104,,,0.600508
44,5,Directed,35038,,,0.327971
42,5,Directed,34900,,,0.985344
41,5,Directed,34835,,,0.308232
39,5,Directed,34695,,,0.132519
38,5,Directed,34613,,,6.790423
37,5,Directed,34541,,,0.473932
36,5,Directed,34465,,,1.789628
35,5,Directed,34388,,,1.20746
34,5,Directed,34334,,,0.08715
33,5,Directed,34264,,,0.895084
32,5,Directed,34208,,,0.211229
31,5,Directed,34127,,,6.213419
30,5,Directed,34050,,,0.830516
29,5,Directed,33983,,,0.385173
27,5,Directed,33833,,,0.51267
26,5,Directed,33756,,,0.963577
25,5,Directed,33706,,,0.288155
24,5,Directed,33628,,,1.464598
22,5,Directed,33478,,,0.362756
21,5,Directed,33397,,,1.731092
20,5,Directed,33321,,,0.603221
18,5,Directed,33162,,,3.72123
17,5,Directed,33084,,,3.264915
16,5,Directed,33007,,,1.018155
14,5,Directed,32861,,,1.909018
13,5,Directed,32780,,,3.557602
12,5,Directed,32698,,,2.862937
11,5,Directed,32617,,,3.621427
9,5,Directed,32457,,,6.044584
8,5,Directed,32383,,,0.73416
7,5,Directed,32301,,,5.489838
6,5,Directed,32221,,,3.245507
6,83,Directed,32296,,,0.194444
6,82,Directed,32295,,,0.449918
6,79,Directed,32293,,,0.957578
6,77,Directed,32291,,,0.282323
6,73,Directed,32288,,,0.055556
6,72,Directed,32287,,,0.05
6,71,Directed,32286,,,0.650191
6,64,Directed,32279,,,1.518889
6,63,Directed,32278,,,1.507953
6,58,Directed,32273,,,2.057535
6,53,Directed,32268,,,2.139765
6,52,Directed,32267,,,0.05
6,50,Directed,32265,,,1.504255
6,49,Directed,32264,,,2.707772
6,47,Directed,32262,,,0.829533
6,45,Directed,32260,,,1.035163
6,44,Directed,32259,,,0.242761
6,42,Directed,32257,,,1.9297
6,41,Directed,32256,,,1.069786
6,39,Directed,32254,,,0.412943
6,38,Directed,32253,,,3.171433
6,37,Directed,32252,,,0.75968
6,36,Directed,32251,,,2.160926
6,35,Directed,32250,,,1.688527
6,34,Directed,32249,,,0.163074
6,33,Directed,32248,,,1.730267
6,32,Directed,32247,,,0.524471
6,31,Directed,32246,,,3.112174
6,30,Directed,32245,,,1.584456
6,29,Directed,32244,,,0.616359
6,27,Directed,32242,,,0.58892
6,26,Directed,32241,,,1.952
6,25,Directed,32240,,,0.224702
6,24,Directed,32239,,,2.20425
6,22,Directed,32237,,,1.372018
6,21,Directed,32236,,,1.933794
6,20,Directed,32235,,,1.202332
6,18,Directed,32233,,,2.820761
6,17,Directed,32232,,,2.287754
6,16,Directed,32231,,,1.883017
6,14,Directed,32229,,,1.85089
6,13,Directed,32228,,,2.943972
6,12,Directed,32227,,,2.719966
6,11,Directed,32226,,,2.804587
6,9,Directed,32224,,,2.496666
6,8,Directed,32223,,,1.548735
6,7,Directed,32222,,,3.115073
83,6,Directed,37348,,,0.157407
82,6,Directed,37286,,,0.230914
79,6,Directed,37141,,,0.37551
77,6,Directed,37057,,,0.080303
73,6,Directed,36880,,,0.027778
72,6,Directed,36839,,,0.025
71,6,Directed,36781,,,0.134259
64,6,Directed,36426,,,0.690482
63,6,Directed,36353,,,0.586584
58,6,Directed,36008,,,1.579324
53,6,Directed,35653,,,1.040179
52,6,Directed,35606,,,0.025
50,6,Directed,35457,,,0.778273
49,6,Directed,35378,,,2.360389
47,6,Directed,35257,,,0.572415
45,6,Directed,35105,,,0.56825
44,6,Directed,35039,,,0.134894
42,6,Directed,34901,,,0.796602
41,6,Directed,34836,,,0.308232
