Source,Target,Type,Id,Label,timeset,Weight
3,93,Directed,47274,,,0.574369
3,88,Directed,47269,,,0.109848
3,87,Directed,47268,,,0.180087
3,85,Directed,47266,,,0.140909
3,84,Directed,47265,,,0.344627
3,81,Directed,47262,,,0.240691
3,80,Directed,47261,,,0.497123
3,79,Directed,47260,,,0.142857
3,75,Directed,47256,,,0.021739
3,73,Directed,47254,,,0.161111
3,70,Directed,47251,,,0.12766
3,68,Directed,47249,,,0.827916
3,67,Directed,47248,,,0.305596
3,61,Directed,47242,,,1.38465
3,60,Directed,47241,,,1.33209
3,58,Directed,47239,,,1.125505
3,57,Directed,47238,,,0.308917
3,55,Directed,47236,,,1.795785
3,54,Directed,47235,,,0.280098
3,52,Directed,47233,,,0.16766
3,50,Directed,47231,,,1.707603
3,48,Directed,47229,,,1.022956
3,47,Directed,47228,,,0.478633
3,46,Directed,47227,,,1.486791
3,45,Directed,47226,,,0.577252
3,44,Directed,47225,,,0.839588
3,43,Directed,47224,,,2.170628
3,42,Directed,47223,,,0.603886
3,41,Directed,47222,,,0.888657
3,37,Directed,47218,,,1.206702
3,36,Directed,47217,,,1.002077
3,35,Directed,47216,,,1.089632
3,33,Directed,47214,,,2.158764
3,31,Directed,47212,,,1.880813
3,30,Directed,47211,,,1.756399
3,29,Directed,47210,,,2.415404
3,28,Directed,47209,,,0.384644
3,26,Directed,47207,,,2.340369
3,25,Directed,47206,,,1.35741
3,24,Directed,47205,,,1.077071
3,22,Directed,47203,,,2.742614
3,21,Directed,47202,,,2.624741
3,20,Directed,47201,,,0.291826
3,19,Directed,47200,,,1.974257
3,18,Directed,47199,,,3.186962
3,17,Directed,47198,,,2.889121
3,16,Directed,47197,,,1.886629
3,15,Directed,47196,,,2.176448
3,14,Directed,47195,,,2.40265
3,13,Directed,47194,,,2.91311
3,9,Directed,47190,,,2.870043
3,8,Directed,47189,,,2.772018
3,7,Directed,47188,,,2.60992
3,6,Directed,47187,,,3.191508
3,5,Directed,47186,,,2.076002
3,4,Directed,47185,,,3.270296
93,3,Directed,53995,,,0.211011
88,3,Directed,53780,,,0.043561
87,3,Directed,53718,,,0.092965
85,3,Directed,53606,,,0.047727
84,3,Directed,53543,,,0.076081
81,3,Directed,53340,,,0.130843
80,3,Directed,53273,,,0.27187
79,3,Directed,53224,,,0.040816
75,3,Directed,53008,,,0.021739
73,3,Directed,52899,,,0.047222
70,3,Directed,52711,,,0.021277
68,3,Directed,52619,,,0.614591
67,3,Directed,52546,,,0.113758
61,3,Directed,52050,,,0.855962
60,3,Directed,51960,,,0.827219
58,3,Directed,51805,,,0.627324
57,3,Directed,51739,,,0.150302
55,3,Directed,51594,,,0.784267
54,3,Directed,51536,,,0.049754
52,3,Directed,51424,,,0.061277
50,3,Directed,51244,,,2.370443
48,3,Directed,51086,,,0.501998
47,3,Directed,51012,,,0.246109
46,3,Directed,50928,,,1.306536
45,3,Directed,50859,,,0.154939
44,3,Directed,50783,,,0.564292
43,3,Directed,50692,,,1.813859
42,3,Directed,50614,,,0.230904
41,3,Directed,50532,,,0.431479
37,3,Directed,50215,,,1.34635
36,3,Directed,50132,,,0.525348
35,3,Directed,50046,,,0.427863
33,3,Directed,49875,,,1.707264
31,3,Directed,49698,,,1.180061
30,3,Directed,49606,,,1.951645
29,3,Directed,49514,,,1.958297
28,3,Directed,49439,,,0.134094
26,3,Directed,49262,,,1.792074
25,3,Directed,49174,,,1.483679
24,3,Directed,49090,,,0.399505
22,3,Directed,48903,,,7.132858
21,3,Directed,48809,,,5.880267
20,3,Directed,48739,,,0.06211
19,3,Directed,48647,,,2.124273
18,3,Directed,48553,,,6.936212
17,3,Directed,48459,,,3.697698
16,3,Directed,48372,,,1.119281
15,3,Directed,48283,,,1.488671
14,3,Directed,48191,,,2.640605
13,3,Directed,48097,,,5.019378
9,3,Directed,47752,,,7.058813
8,3,Directed,47658,,,7.572648
7,3,Directed,47563,,,3.357309
6,3,Directed,47468,,,8.797063
5,3,Directed,47374,,,2.38844
4,3,Directed,47279,,,35.000602
4,93,Directed,47368,,,7.57902
4,88,Directed,47363,,,2.933712
4,87,Directed,47362,,,4.11702
4,85,Directed,47360,,,2.910315
4,84,Directed,47359,,,3.517347
4,81,Directed,47356,,,3.948282
4,80,Directed,47355,,,5.469995
4,79,Directed,47354,,,2.183673
4,75,Directed,47350,,,2.065217
4,73,Directed,47348,,,2.058333
4,70,Directed,47345,,,1.319149
4,68,Directed,47343,,,15.130685
4,67,Directed,47342,,,6.102884
4,61,Directed,47336,,,20.959928
4,60,Directed,47335,,,23.763386
4,58,Directed,47333,,,13.63725
