Source,Target,Type,Id,Label,timeset,Weight
2,77,Directed,42269,,,0.083333
2,55,Directed,42267,,,0.083333
2,43,Directed,42265,,,0.083333
2,39,Directed,42264,,,0.083333
2,37,Directed,42263,,,0.083333
2,32,Directed,42262,,,0.083333
2,28,Directed,42261,,,0.083333
2,17,Directed,42260,,,0.083333
2,7,Directed,42259,,,0.083333
2,6,Directed,42258,,,0.083333
77,2,Directed,46718,,,0.083333
55,2,Directed,45584,,,0.166667
43,2,Directed,44929,,,0.083333
39,2,Directed,44639,,,0.166667
37,2,Directed,44483,,,0.083333
32,2,Directed,44126,,,0.166667
28,2,Directed,43890,,,0.25
17,2,Directed,43127,,,0.666667
7,2,Directed,42474,,,0.083333
6,2,Directed,42393,,,0.5
6,81,Directed,42471,,,0.387993
6,77,Directed,42467,,,2.680879
6,76,Directed,42466,,,3.679193
6,75,Directed,42465,,,0.468382
6,70,Directed,42460,,,0.711905
6,69,Directed,42459,,,0.651071
6,67,Directed,42457,,,0.071429
6,65,Directed,42455,,,0.0625
6,63,Directed,42453,,,5.830822
6,62,Directed,42452,,,0.294118
6,61,Directed,42451,,,4.561676
6,55,Directed,42445,,,7.983632
6,43,Directed,42433,,,2.260062
6,42,Directed,42432,,,2.200065
6,41,Directed,42431,,,6.841815
6,40,Directed,42430,,,10.757144
6,39,Directed,42429,,,11.278559
6,38,Directed,42428,,,8.053175
6,37,Directed,42427,,,11.279725
6,36,Directed,42426,,,5.823476
6,35,Directed,42425,,,5.078227
6,34,Directed,42424,,,1.739594
6,33,Directed,42423,,,8.895445
6,32,Directed,42422,,,13.039536
6,30,Directed,42420,,,9.025624
6,29,Directed,42419,,,1.493829
6,28,Directed,42418,,,11.130416
6,27,Directed,42417,,,10.868286
6,26,Directed,42416,,,7.689241
6,25,Directed,42415,,,5.684299
6,24,Directed,42414,,,0.64899
6,23,Directed,42413,,,7.05022
6,22,Directed,42412,,,2.375818
6,21,Directed,42411,,,1.483688
6,20,Directed,42410,,,2.656614
6,19,Directed,42409,,,3.32387
6,18,Directed,42408,,,11.042943
6,17,Directed,42407,,,13.840676
6,16,Directed,42406,,,5.174977
6,15,Directed,42405,,,5.359163
6,14,Directed,42404,,,3.006197
6,13,Directed,42403,,,2.404711
6,12,Directed,42402,,,11.728385
6,11,Directed,42401,,,6.467791
6,10,Directed,42400,,,1.228571
6,9,Directed,42399,,,6.18258
6,8,Directed,42398,,,4.235762
6,7,Directed,42397,,,8.796136
81,6,Directed,46913,,,0.060036
77,6,Directed,46720,,,0.524781
76,6,Directed,46656,,,0.494317
75,6,Directed,46601,,,0.093995
70,6,Directed,46377,,,0.178571
69,6,Directed,46325,,,0.099821
67,6,Directed,46269,,,0.071429
65,6,Directed,46165,,,0.03125
63,6,Directed,46024,,,1.52874
62,6,Directed,46004,,,0.058824
61,6,Directed,45935,,,0.860915
55,6,Directed,45588,,,2.351263
43,6,Directed,44932,,,0.561697
42,6,Directed,44876,,,0.246729
41,6,Directed,44799,,,1.44946
40,6,Directed,44722,,,3.196363
39,6,Directed,44643,,,3.143181
38,6,Directed,44565,,,1.987272
37,6,Directed,44487,,,3.80988
36,6,Directed,44414,,,0.829482
35,6,Directed,44344,,,1.480288
34,6,Directed,44284,,,0.451282
33,6,Directed,44209,,,3.861862
32,6,Directed,44130,,,5.898888
30,6,Directed,44026,,,1.635711
29,6,Directed,43969,,,0.279624
28,6,Directed,43894,,,2.146843
27,6,Directed,43814,,,2.858722
26,6,Directed,43738,,,1.429509
25,6,Directed,43666,,,1.173874
24,6,Directed,43615,,,0.085859
23,6,Directed,43540,,,1.015321
22,6,Directed,43478,,,0.454389
21,6,Directed,43417,,,0.401973
20,6,Directed,43353,,,0.431497
19,6,Directed,43287,,,0.611596
18,6,Directed,43211,,,6.104751
17,6,Directed,43131,,,37.415624
16,6,Directed,43059,,,1.002828
15,6,Directed,42981,,,1.03065
14,6,Directed,42916,,,0.770427
13,6,Directed,42854,,,0.393118
12,6,Directed,42779,,,4.450637
11,6,Directed,42710,,,0.819394
10,6,Directed,42674,,,0.111429
9,6,Directed,42605,,,0.727243
8,6,Directed,42553,,,0.46946
7,6,Directed,42478,,,1.461231
7,81,Directed,42549,,,0.032258
7,77,Directed,42545,,,0.334834
7,76,Directed,42544,,,0.567196
7,75,Directed,42543,,,0.1
7,70,Directed,42538,,,0.12381
7,69,Directed,42537,,,0.057143
7,63,Directed,42533,,,0.70511
7,61,Directed,42532,,,0.538606
7,55,Directed,42526,,,0.909724
7,43,Directed,42514,,,0.163333
7,42,Directed,42513,,,0.261881
7,41,Directed,42512,,,0.888296
7,40,Directed,42511,,,1.257149
7,39,Directed,42510,,,1.339792
7,38,Directed,42509,,,1.11211
7,37,Directed,42508,,,1.309975
7,36,Directed,42507,,,0.668789
7,35,Directed,42506,,,0.674092
7,34,Directed,42505,,,0.071429
7,33,Directed,42504,,,1.099848
7,32,Directed,42503,,,1.489641
7,30,Directed,42501,,,1.109569
7,29,Directed,42500,,,0.23369
7,28,Directed,42499,,,1.191579
7,27,Directed,42498,,,1.174913
7,26,Directed,42497,,,1.060394
7,25,Directed,42496,,,0.711692
7,24,Directed,42495,,,0.121212
7,23,Directed,42494,,,0.995716
7,22,Directed,42493,,,0.273125
7,21,Directed,42492,,,0.066741
7,20,Directed,42491,,,0.257812
7,19,Directed,42490,,,0.398427
7,18,Directed,42489,,,1.2586
7,17,Directed,42488,,,1.552141
7,16,Directed,42487,,,0.636171
7,15,Directed,42486,,,0.652495
7,14,Directed,42485,,,0.383911
7,13,Directed,42484,,,0.417768
7,12,Directed,42483,,,1.228442
7,11,Directed,42482,,,0.907974
7,10,Directed,42481,,,0.115714
7,9,Directed,42480,,,0.948044
7,8,Directed,42479,,,0.334976
81,7,Directed,46914,,,0.032258
77,7,Directed,46721,,,0.237297
76,7,Directed,46657,,,0.338271
75,7,Directed,46602,,,0.033333
70,7,Directed,46378,,,0.095238
69,7,Directed,46326,,,0.028571
63,7,Directed,46025,,,0.560222
61,7,Directed,45936,,,0.319243
55,7,Directed,45589,,,0.968032
43,7,Directed,44933,,,0.123333
42,7,Directed,44877,,,0.169806
41,7,Directed,44800,,,0.625992
40,7,Directed,44723,,,2.000294
