ID,LABEL,STATUS
1,CUENCA,INTERANDEAN
2,CHILLANES,COAST
3,LATACUNGA,INTERANDEAN
4,PANGUA,INTERANDEAN
5,RIOBAMBA,INTERANDEAN
6,MACHALA,COAST
7,PASAJE,COAST
8,ARENILLAS,COAST
9,SANTA ROSA,COAST
10,ZARUMA,COAST
11,EL GUABO,COAST
12,ESMERALDAS,COAST
13,ELOY ALFARO,COAST
14,SAN LORENZO,COAST
15,MUISNE,COAST
16,QUININDÉ,COAST
17,GUAYAQUIL,COAST
18,MILAGRO,COAST
19,EL EMPALME,COAST
20,SAN JACINTO DE YAGUACHI,COAST
21,SALINAS,COAST
22,DURÁN,COAST
23,PLAYAS,COAST
24,DAULE,COAST
25,NARANJAL,COAST
26,LA LIBERTAD,COAST
27,SANTA ELENA,COAST
28,EL TRIUNFO,COAST
29,SALITRE,COAST
30,NARANJITO,COAST
31,PALTAS,INTERANDEAN
32,BABAHOYO,COAST
33,QUEVEDO,COAST
34,URDANETA,COAST
35,VINCES,COAST
36,VENTANAS,COAST
37,PORTOVIEJO,COAST
38,BOLÍVAR,COAST
39,CHONE,COAST
40,JIPIJAPA,COAST
41,MANTA,COAST
42,PAJÁN,COAST
43,ROCAFUERTE,COAST
44,MORONA,AMAZONIA
45,GUALAQUIZA,AMAZONIA
46,SANTIAGO,AMAZONIA
47,SUCÚA,AMAZONIA
48,TENA,AMAZONIA
49,AGUARICO,AMAZONIA
50,ORELLANA,AMAZONIA
51,EL CHACO,AMAZONIA
52,QUIJOS,AMAZONIA
53,PASTAZA,AMAZONIA
54,QUITO,INTERANDEAN
55,SANTO DOMINGO,COAST
56,AMBATO,INTERANDEAN
57,YANTZAZA,AMAZONIA
58,SANTA CRUZ,GALAPAGOS
59,LAGO AGRIO,AMAZONIA
60,SHUSHUFINDI,AMAZONIA
61,LA CONCORDIA,COAST
62,ISIDRO AYORA,COAST
63,BUENA FE,COAST
64,LA MANÁ,INTERANDEAN
65,MOCACHE,COAST
66,PEDRO VICENTE MALDONADO,INTERANDEAN
67,PEDRO CARBO,COAST
68,AZOGUES,INTERANDEAN
69,BALZAR,COAST
70,CORONEL MARCELINO MARIDUEÑA,COAST
71,IBARRA,INTERANDEAN
72,ANTONIO ANTE,INTERANDEAN
73,LOJA,INTERANDEAN
74,PUYANGO,INTERANDEAN
75,BABA,COAST
76,SUCRE,COAST
77,EL CARMEN,COAST
78,ARCHIDONA,AMAZONIA
79,ZAMORA,AMAZONIA
80,SAN CRISTÓBAL,GALAPAGOS
81,HUAQUILLAS,COAST
82,LA TRONCAL,INTERANDEAN
