SOURCE,TARGET,WEIGHT
1,3,0.028571429
1,6,0.131086406
1,7,0.032258065
1,8,0.054985337
1,10,0.078947368
1,11,0.022727273
1,12,0.390198866
1,13,0.131086406
1,14,0.192445793
1,15,0.261627437
1,16,0.140617198
1,17,0.051298701
1,18,0.244584831
1,19,0.357940801
1,20,0.119172004
1,21,0.033333333
1,22,0.294960771
1,23,0.259657834
1,24,0.198119373
1,25,0.390198866
1,26,0.227087468
1,28,0.127855478
1,29,0.174873292
1,31,0.232215673
1,32,0.16149607
1,33,0.060829493
1,34,0.107518797
1,35,0.16149607
1,36,0.028571429
1,37,0.078947368
1,38,0.029411765
1,39,0.078947368
1,40,0.138768797
1,41,0.028571429
1,42,0.08976024
1,43,0.064583333
1,46,0.390198866
1,47,0.263710771
1,49,0.390198866
1,50,0.190067498
1,51,0.266264957
1,52,0.230377437
1,53,0.323532199
1,54,0.256499232
1,55,0.26478604
1,56,0.182915002
1,57,0.173865228
1,58,0.061904762
1,59,0.390198866
1,60,0.323532199
1,61,0.053977273
1,62,0.033333333
1,63,0.051298701
1,64,0.022727273
1,65,0.03125
1,68,0.029411765
1,69,0.066666667
1,70,0.390198866
1,72,0.051298701
1,73,0.231093388
1,75,0.136930562
1,76,0.022727273
1,77,0.108359133
1,78,0.032258065
1,79,0.125412826
1,80,0.390198866
1,81,0.16203613
1,82,0.390198866
1,83,0.094162826
1,84,0.390198866
1,85,0.07987013
1,86,0.060661765
1,87,0.132924641
2,6,0.025
2,12,0.025
2,13,0.025
2,15,0.025
2,16,0.025
2,19,0.025
2,20,0.025
2,22,0.025
2,24,0.025
2,25,0.025
2,29,0.025
2,32,0.025
2,43,0.025
2,45,0.025
2,46,0.025
2,47,0.025
2,49,0.025
2,50,0.025
2,51,0.025
2,53,0.025
2,54,0.025
2,55,0.025
2,56,0.025
2,57,0.025
2,58,0.025
2,59,0.025
2,60,0.025
2,61,0.025
2,66,0.025
2,70,0.025
2,72,0.025
2,73,0.025
2,76,0.025
2,80,0.025
2,81,0.025
2,82,0.025
2,83,0.025
2,84,0.025
2,85,0.025
2,86,0.025
3,1,0.028571429
3,6,0.055555556
3,8,0.055555556
3,12,0.084126984
3,14,0.028571429
3,18,0.028571429
3,19,0.084126984
3,20,0.028571429
3,22,0.028571429
3,23,0.028571429
3,24,0.028571429
3,25,0.084126984
3,29,0.084126984
3,32,0.084126984
3,36,0.055555556
3,41,0.028571429
3,42,0.028571429
3,46,0.084126984
3,47,0.028571429
3,49,0.084126984
3,50,0.028571429
3,51,0.028571429
3,52,0.028571429
3,53,0.028571429
3,54,0.084126984
3,56,0.028571429
3,57,0.084126984
3,58,0.028571429
3,59,0.084126984
3,60,0.084126984
3,70,0.084126984
3,73,0.084126984
3,75,0.028571429
3,80,0.084126984
3,81,0.028571429
3,82,0.028571429
3,84,0.084126984
3,85,0.028571429
4,8,0.041666667
4,15,0.041666667
4,19,0.041666667
4,20,0.041666667
4,25,0.041666667
4,26,0.041666667
4,28,0.041666667
4,31,0.041666667
4,46,0.041666667
4,49,0.041666667
4,51,0.041666667
4,54,0.041666667
4,55,0.041666667
4,58,0.041666667
4,59,0.041666667
4,60,0.041666667
4,61,0.041666667
4,70,0.041666667
4,72,0.041666667
4,73,0.041666667
4,80,0.041666667
4,81,0.041666667
4,82,0.041666667
4,84,0.041666667
5,12,0.03125
5,13,0.03125
5,14,0.03125
5,15,0.03125
5,16,0.03125
5,18,0.03125
5,19,0.03125
5,25,0.03125
5,26,0.03125
5,29,0.03125
5,31,0.03125
5,32,0.03125
5,35,0.03125
5,40,0.03125
5,43,0.03125
5,46,0.03125
5,49,0.03125
5,51,0.03125
5,52,0.03125
5,54,0.03125
5,57,0.03125
5,59,0.03125
5,60,0.03125
5,65,0.03125
5,70,0.03125
5,78,0.03125
5,79,0.03125
5,80,0.03125
5,82,0.03125
5,84,0.03125
5,85,0.03125
5,87,0.03125
6,1,0.180129468
6,2,0.025
6,3,0.055555556
6,8,0.101010101
6,9,0.035714286
6,10,0.105263158
6,11,0.045454545
6,12,0.597548735
6,13,0.341993179
6,14,0.034482759
6,15,0.358659846
6,16,0.312055875
6,17,0.081168831
6,18,0.160580596
6,19,0.624334449
6,20,0.166532977
6,22,0.240843754
6,23,0.230129468
6,24,0.205129468
6,25,0.660048735
6,26,0.220914748
6,27,0.0625
6,28,0.079937304
6,29,0.27561891
6,31,0.251867129
6,32,0.266987545
6,33,0.084482759
6,34,0.105263158
6,35,0.235200462
6,36,0.090038314
6,37,0.105263158
6,38,0.029411765
6,39,0.105263158
6,40,0.139745917
6,42,0.045454545
6,43,0.060714286
6,45,0.025
6,46,0.593382068
6,47,0.205129468
6,49,0.660048735
6,50,0.175717703
6,51,0.343912583
6,52,0.180129468
6,53,0.337826512
6,54,0.510048735
6,55,0.205129468
6,56,0.070454545
6,57,0.239904624
6,58,0.025
6,59,0.660048735
6,60,0.660048735
6,61,0.120454545
6,62,0.035714286
6,63,0.146603971
6,64,0.045454545
6,66,0.175
6,68,0.029411765
6,69,0.133333333
6,70,0.575565976
6,72,0.120454545
6,73,0.215230478
6,75,0.134674923
