"","PROVINCIA","CANTON","SE","NÚM..CASOS"
"1","1","SANTA ISABEL",24,1
"2","1","SIGSIG",43,1
"3","3","AZOGUES",16,1
"4","3","LA TRONCAL",33,2
"5","3","LA TRONCAL",36,2
"6","3","LA TRONCAL",28,3
"7","5","LATACUNGA",20,1
"8","5","LA MANA",22,1
"9","5","PUJILI",43,1
"10","6","COLTA",27,1
"11","7","MACHALA",18,4
"12","7","MACHALA",30,3
"13","7","MACHALA",33,2
"14","7","MACHALA",24,2
"15","7","MACHALA",28,3
"16","7","MACHALA",51,3
"17","7","MACHALA",49,3
"18","7","MACHALA",25,2
"19","7","MACHALA",29,3
"20","7","MACHALA",34,3
"21","7","MACHALA",42,2
"22","7","MACHALA",35,3
"23","7","MACHALA",21,6
"24","7","MACHALA",26,2
"25","7","MACHALA",43,3
"26","7","MACHALA",32,4
"27","7","MACHALA",20,3
"28","7","MACHALA",17,2
"29","7","MACHALA",23,3
"30","7","MACHALA",27,3
"31","7","MACHALA",11,2
"32","7","MACHALA",31,2
"33","7","EL GUABO",47,2
"34","7","EL GUABO",30,2
"35","7","EL GUABO",29,3
"36","7","EL GUABO",39,3
"37","7","HUAQUILLAS",25,3
"38","7","HUAQUILLAS",24,2
"39","7","HUAQUILLAS",21,2
"40","7","HUAQUILLAS",27,3
"41","7","HUAQUILLAS",30,2
"42","7","HUAQUILLAS",26,2
"43","7","HUAQUILLAS",23,2
"44","7","PASAJE",31,4
"45","7","PASAJE",13,2
"46","7","PASAJE",33,2
"47","7","PASAJE",21,2
"48","7","SANTA ROSA",36,3
"49","7","SANTA ROSA",22,4
"50","8","ESMERALDAS",40,9
"51","8","ESMERALDAS",44,5
"52","8","ESMERALDAS",27,25
"53","8","ESMERALDAS",47,3
"54","8","ESMERALDAS",17,13
"55","8","ESMERALDAS",22,19
"56","8","ESMERALDAS",13,24
"57","8","ESMERALDAS",32,8
"58","8","ESMERALDAS",51,8
"59","8","ESMERALDAS",14,18
"60","8","ESMERALDAS",23,27
"61","8","ESMERALDAS",39,7
"62","8","ESMERALDAS",46,5
"63","8","ESMERALDAS",12,21
"64","8","ESMERALDAS",28,14
"65","8","ESMERALDAS",15,22
"66","8","ESMERALDAS",16,11
"67","8","ESMERALDAS",31,11
"68","8","ESMERALDAS",9,15
"69","8","ESMERALDAS",11,23
"70","8","ESMERALDAS",49,3
"71","8","ESMERALDAS",20,3
"72","8","ESMERALDAS",50,2
"73","8","ESMERALDAS",7,9
"74","8","ESMERALDAS",26,21
"75","8","ESMERALDAS",33,5
"76","8","ESMERALDAS",19,14
"77","8","ESMERALDAS",24,35
"78","8","ESMERALDAS",30,14
"79","8","ESMERALDAS",38,6
"80","8","ESMERALDAS",1,7
"81","8","ESMERALDAS",2,3
"82","8","ESMERALDAS",25,24
"83","8","ESMERALDAS",8,10
"84","8","ESMERALDAS",18,7
"85","8","ESMERALDAS",34,7
"86","8","ESMERALDAS",21,9
"87","8","ESMERALDAS",5,2
"88","8","ESMERALDAS",41,2
"89","8","ESMERALDAS",29,19
"90","8","ESMERALDAS",6,6
"91","8","ESMERALDAS",36,7
"92","8","ESMERALDAS",10,17
"93","8","ESMERALDAS",3,2
"94","8","ESMERALDAS",35,8
"95","8","ESMERALDAS",4,6
"96","8","ESMERALDAS",48,2
"97","8","ELOY ALFARO",1,3
"98","8","ELOY ALFARO",8,5
"99","8","ELOY ALFARO",20,7
"100","8","ELOY ALFARO",14,6
"101","8","ELOY ALFARO",21,8
"102","8","ELOY ALFARO",10,6
"103","8","ELOY ALFARO",50,2
"104","8","ELOY ALFARO",16,5
"105","8","ELOY ALFARO",7,5
"106","8","ELOY ALFARO",13,12
"107","8","ELOY ALFARO",23,6
"108","8","ELOY ALFARO",12,11
"109","8","ELOY ALFARO",19,4
"110","8","ELOY ALFARO",17,7
"111","8","ELOY ALFARO",11,7
"112","8","ELOY ALFARO",9,2
"113","8","ELOY ALFARO",49,2
"114","8","ELOY ALFARO",25,5
"115","8","ELOY ALFARO",32,2
"116","8","ELOY ALFARO",37,2
"117","8","ELOY ALFARO",15,4
"118","8","ELOY ALFARO",24,3
"119","8","ELOY ALFARO",36,2
"120","8","ELOY ALFARO",52,2
"121","8","ELOY ALFARO",28,4
"122","8","ELOY ALFARO",18,3
"123","8","ELOY ALFARO",30,4
"124","8","ELOY ALFARO",27,3
"125","8","ELOY ALFARO",29,2
"126","8","MUISNE",24,4
"127","8","MUISNE",19,2
