ID,LABEL,STATUS
1,GUALACEO,INTERANDEAN
2,PAUTE,INTERANDEAN
3,SIGSIG,INTERANDEAN
4,LOJA,INTERANDEAN
5,MACARA,INTERANDEAN
6,PALTAS,INTERANDEAN
7,BABAHOYO,COAST
8,BABA,COAST
9,PUEBLOVIEJO,COAST
10,QUEVEDO,COAST
11,URDANETA,COAST
12,VENTANAS,COAST
13,BUENA FE,COAST
14,QUINSALOMA,COAST
15,PORTOVIEJO,COAST
16,BOLIVAR,COAST
17,CHONE,COAST
18,EL CARMEN,COAST
19,FLAVIO ALFARO,COAST
20,JIPIJAPA,COAST
21,MANTA,COAST
22,ROCAFUERTE,COAST
23,SUCRE,COAST
24,QUIJOS,AMAZONIA
25,PASTAZA,AMAZONIA
26,QUITO,INTERANDEAN
27,RUMIÐAHUI,INTERANDEAN
28,PEDRO VICENTE MALDONADO,INTERANDEAN
29,SAN CRISTOBAL,GALAPAGOS
30,GUARANDA,COAST
31,LAGO AGRIO,AMAZONIA
32,ORELLANA,AMAZONIA
33,SANTO DOMINGO,COAST
34,SANTA ELENA,COAST
35,LA LIBERTAD,COAST
36,SALINAS,COAST
37,AZOGUES,INTERANDEAN
38,LA TRONCAL,INTERANDEAN
39,LATACUNGA,INTERANDEAN
40,LA MANA,INTERANDEAN
41,MACHALA,INTERANDEAN
42,ARENILLAS,COAST
43,EL GUABO,COAST
44,HUAQUILLAS,COAST
45,PASAJE,COAST
46,PIÑAS,COAST
47,SANTA ROSA,COAST
48,ZARUMA,AMAZONIA
49,ESMERALDAS,COAST
50,QUININDE,COAST
51,ATACAMES,COAST
52,GUAYAQUIL,COAST
53,EMPALME,COAST
54,EL TRIUNFO,COAST
55,MILAGRO,COAST
56,NARANJAL,COAST
57,NARANJITO,COAST
58,SAMBORONDON,COAST
59,SAN JACINTO DE YAGUACHI,COAST
60,PLAYAS,COAST
61,CRNEL. MARCELINO MARIDUEÑA,COAST
62,IBARRA,INTERANDEAN
63,CUENCA,INTERANDEAN
64,PUYANGO,INTERANDEAN
65,VINCES,COAST
66,PAJAN,COAST
67,PICHINCHA,COAST
68,MORONA,AMAZONIA
69,GUALAQUIZA,AMAZONIA
70,TENA,AMAZONIA
71,ARCHIDONA,AMAZONIA
72,EL CHACO,AMAZONIA
73,AMBATO,INTERANDEAN
74,SAN PEDRO DE PELILEO,INTERANDEAN
75,ZAMORA,AMAZONIA
76,CHILLANES,COAST
77,SHUSHUFINDI,AMAZONIA
78,AGUARICO,AMAZONIA
79,PANGUA,INTERANDEAN
80,PUJILI,INTERANDEAN
81,RIOBAMBA,INTERANDEAN
82,ELOY ALFARO,COAST
83,MUISNE,COAST
84,SAN LORENZO,COAST
85,BALZAR,COAST
86,DAULE,COAST
87,DURAN,COAST
88,SALITRE,COAST
