ID,LABEL,STATUS
1,ORELLANA,AMAZONIA
2,SHUSHUFINDI,AMAZONIA
3,QUEVEDO,COAST
4,GUAYAQUIL,COAST
5,MILAGRO,COAST
6,SANTO DOMINGO,COAST
7,BUENA FE,COAST
8,SANTA ELENA,COAST
9,BABAHOYO,COAST
10,LAGO AGRIO,AMAZONIA
11,IBARRA,INTERANDEAN
12,LA TRONCAL,INTERANDEAN
13,MANTA,COAST
14,EL EMPALME,COAST
15,QUININDÉ,COAST
16,JIPIJAPA,COAST
17,CHONE,COAST
18,PORTOVIEJO,COAST
19,LA LIBERTAD,COAST
20,PASAJE,COAST
21,MACHALA,COAST
22,ARENILLAS,COAST
23,LOJA,INTERANDEAN
24,NARANJITO,COAST
25,BOLÍVAR,COAST
26,QUINSALOMA,COAST
27,ZARUMA,AMAZONIA
28,EL CARMEN,COAST
29,SANTA ROSA,COAST
30,SALINAS,COAST
31,VINCES,COAST
32,QUITO,INTERANDEAN
33,SAN LORENZO,COAST
34,SANTA CRUZ,GALAPAGOS
35,EL TRIUNFO,COAST
36,PLAYAS,COAST
37,NARANJAL,COAST
38,SAN CRISTÓBAL,GALAPAGOS
39,MACARÁ,INTERANDEAN
40,TENA,AMAZONIA
41,SUCRE,COAST
42,ROCAFUERTE,COAST
43,ESMERALDAS,COAST
44,SAN VICENTE,COAST
45,DURÁN,COAST
46,PICHINCHA,COAST
47,HUAQUILLAS,COAST
48,LA CONCORDIA,COAST
49,PASTAZA,AMAZONIA
50,EL GUABO,COAST
51,AGUARICO,AMAZONIA
52,URDANETA,COAST
53,EL CHACO,AMAZONIA
54,VENTANAS,COAST
55,FLAVIO ALFARO,COAST
56,AMBATO,INTERANDEAN
57,PEDRO VICENTE MALDONADO,COAST
58,ATACAMES,COAST
59,LA MANÁ,INTERANDEAN
60,CHILLANES,COAST
61,SAN JACINTO DE YAGUACHI,COAST
62,QUIJOS,AMAZONIA
63,GUALACEO,INTERANDEAN
64,ARCHIDONA,AMAZONIA
65,SARAGURO,INTERANDEAN
66,CUENCA,INTERANDEAN
67,SANTA LUCÍA,COAST
68,SALITRE,COAST
69,ZAMORA,AMAZONIA
70,MUISNE,COAST
71,PUYANGO,INTERANDEAN
72,TULCÁN,INTERANDEAN
73,PIÑAS,COAST
74,GUALAQUIZA,AMAZONIA
75,PUEBLOVIEJO,COAST
76,YANTZAZA,AMAZONIA
77,TAISHA,AMAZONIA
78,SANTA ISABEL,GALAPAGOS
79,BABA,COAST
80,BALZAR,COAST
81,SAMBORONDON,COAST
82,MORONA,AMAZONIA
83,AZOGUES,INTERANDEAN
84,DAULE,COAST
85,PANGUA,COAST
86,LATACUNGA,INTERANDEAN
87,GUARANDA,COAST
88,ELOY ALFARO,COAST
89,PUJILÍ,INTERANDEAN
90,SUCÚA,AMAZONIA
91,CHINCHIPE,AMAZONIA
92,PALTAS,INTERANDEAN
93,PAJÁN,COAST
94,RIOBAMBA,INTERANDEAN
95,SAN PEDRO DE PELILEO,INTERANDEAN
96,SIGSIG,INTERANDEAN
