SOURCE,TARGET,WEIGHT
1,6,1.046260746
1,7,0.705289072
1,9,0.375742648
1,11,0.325266458
1,12,0.608760746
1,13,0.313690476
1,14,0.494642857
1,15,0.262097966
1,16,0.291964322
1,17,1.228078928
1,18,1.046260746
1,19,0.529065491
1,20,0.381580725
1,21,0.203723582
1,22,0.148924731
1,23,0.366212826
1,25,0.321213091
1,26,0.82273015
1,27,0.663247391
1,28,0.500203913
1,29,0.120289855
1,30,0.341488132
1,32,1.040578928
1,33,1.012927412
1,34,0.138214286
1,35,0.57304646
1,36,0.263091133
1,37,0.910381665
1,38,0.507537164
1,39,0.624795228
1,40,0.654004853
1,41,0.748563701
1,42,0.103448276
1,43,0.0625
1,44,0.228846688
1,45,0.033333333
1,46,0.63078866
1,47,0.65254792
1,48,0.701030596
1,49,0.096982759
1,50,0.711623901
1,51,0.320197044
1,53,0.034482759
1,54,0.424821465
1,55,0.24026455
1,56,0.057142857
1,57,0.369214586
1,58,0.068965517
1,59,0.434951222
1,60,0.339225589
1,61,0.194363929
1,63,0.664680021
1,64,0.273173235
1,65,0.0625
1,66,0.203723582
1,69,0.159642857
1,70,0.057142857
1,71,0.149456522
1,73,0.131216931
1,75,0.095833333
1,76,0.375513136
1,77,0.356777131
1,78,0.032258065
1,79,0.074074074
1,80,0.057142857
1,81,0.032258065
2,6,0.083333333
2,7,0.083333333
2,17,0.083333333
2,28,0.083333333
2,32,0.083333333
2,37,0.083333333
2,39,0.083333333
2,43,0.083333333
2,54,0.083333333
2,55,0.083333333
2,60,0.083333333
2,77,0.083333333
3,4,0.035714286
3,5,0.091269841
3,6,0.362020333
3,7,0.066017316
3,8,0.121572872
3,9,0.066017316
3,10,0.035714286
3,11,0.03030303
3,12,0.208174179
3,14,0.027777778
3,15,0.063492063
3,16,0.035714286
3,17,0.362020333
3,18,0.152618623
3,19,0.027777778
3,21,0.153846154
3,22,0.086601307
3,23,0.058080808
3,24,0.058080808
3,25,0.093795094
3,26,0.211926962
3,27,0.152618623
3,28,0.208174179
3,30,0.113636364
3,32,0.362020333
3,33,0.149350649
3,34,0.027777778
3,35,0.181623932
3,36,0.03030303
3,37,0.208174179
3,38,0.093795094
3,39,0.362020333
3,40,0.208174179
3,41,0.085858586
3,42,0.035714286
3,43,0.153846154
3,44,0.027777778
3,47,0.035714286
3,49,0.027777778
3,50,0.240447461
3,51,0.181623932
3,54,0.149350649
3,55,0.334242555
3,58,0.066017316
3,59,0.058080808
3,60,0.027777778
3,61,0.058080808
3,63,0.142156863
3,64,0.326306047
3,66,0.334242555
3,72,0.03030303
3,74,0.03030303
3,76,0.066017316
3,77,0.086601307
3,81,0.027777778
3,82,0.027777778
4,3,0.035714286
4,5,0.035714286
4,6,0.035714286
4,7,0.035714286
4,8,0.035714286
4,9,0.035714286
4,10,0.035714286
4,12,0.035714286
4,15,0.035714286
4,16,0.035714286
4,17,0.035714286
4,18,0.035714286
4,25,0.035714286
4,27,0.035714286
4,28,0.035714286
4,32,0.035714286
4,33,0.035714286
4,37,0.035714286
4,38,0.035714286
4,39,0.035714286
4,40,0.035714286
4,42,0.035714286
4,47,0.035714286
4,54,0.035714286
4,55,0.035714286
4,58,0.035714286
4,66,0.035714286
4,76,0.035714286
5,3,0.091269841
5,4,0.035714286
5,6,0.171269841
5,7,0.115714286
5,8,0.091269841
5,9,0.035714286
5,10,0.115714286
5,11,0.08
5,12,0.171269841
5,15,0.035714286
5,16,0.035714286
5,17,0.171269841
5,18,0.115714286
5,23,0.08
5,25,0.035714286
5,27,0.115714286
5,28,0.171269841
5,30,0.135555556
5,32,0.171269841
5,33,0.171269841
5,37,0.171269841
5,38,0.115714286
5,39,0.171269841
5,40,0.171269841
5,41,0.135555556
5,42,0.035714286
5,43,0.08
5,47,0.035714286
5,50,0.08
5,54,0.171269841
5,55,0.091269841
5,58,0.115714286
5,60,0.08
5,61,0.08
5,63,0.055555556
5,64,0.055555556
5,66,0.171269841
5,76,0.035714286
6,1,2.909684803
6,2,0.5
6,3,1.512453233
6,4,0.428571429
6,5,1.450793651
6,7,8.796135808
6,8,4.235762153
6,9,6.182579916
6,10,1.228571429
6,11,6.467791343
6,12,11.72838493
6,13,2.40471073
6,14,3.006197331
6,15,5.359162976
6,16,5.174976965
6,17,13.84067625
6,18,11.04294342
6,19,3.323869697
6,20,2.656613977
6,21,1.483687644
6,22,2.375818196
6,23,7.050220029
6,24,0.648989899
6,25,5.684298569
6,26,7.68924131
6,27,10.86828634
6,28,11.13041643
6,29,1.49382917
6,30,9.025623513
6,31,0.807692308
6,32,13.03953635
6,33,8.895445067
6,34,1.739593811
6,35,5.078227141
6,36,5.823475974
6,37,11.2797255
6,38,8.053175247
6,39,11.27855936
6,40,10.75714388
6,41,6.841815109
6,42,2.200064641
6,43,2.260061589
6,44,3.245921923
6,45,0.2
6,46,0.681512534
6,47,3.164415552
6,48,0.977130814
6,49,1.456441101
6,50,4.909385961
6,51,4.939035609
6,52,0.806451613
6,53,0.586206897
6,54,10.18676635
6,55,7.983631597
6,56,0.428571429
6,57,1.048861552
6,58,2.096909987
6,59,7.862108292
6,60,4.977175004
6,61,4.561675851
6,62,0.294117647
6,63,5.830821848
6,64,4.614170832
6,65,0.0625
6,66,7.291766381
6,67,0.071428571
6,68,1.226342711
6,69,0.651071429
6,70,0.711904762
6,71,0.72840389
6,72,1.262237762
6,73,1.2561223
6,74,1.072192513
6,75,0.468382353
6,76,3.679193407
6,77,2.680879381
6,78,0.836249912
6,79,0.704457852
6,80,0.886087768
6,81,0.387992832
6,82,0.416666667
7,1,0.589206656
7,2,0.083333333
7,3,0.156926407
7,4,0.035714286
7,5,0.115714286
7,6,1.46123144
7,8,0.334976046
7,9,0.948044253
7,10,0.115714286
7,11,0.907973591
7,12,1.228441585
7,13,0.417768261
