ID,LABEL,STATUS
1,SANTA ISABEL,GALAPAGOS
2,CHILLANES,COAST
3,LA TRONCAL,INTERANDEAN
4,TULCAN,INTERANDEAN
5,RIOBAMBA,INTERANDEAN
6,MACHALA,COAST
7,PASAJE,COAST
8,PIÑAS,COAST
9,SANTA ROSA,COAST
10,ZARUMA,AMAZONIA
11,ESMERALDAS,COAST
12,QUININDE,COAST
13,SAN LORENZO,COAST
14,GUAYAQUIL,COAST
15,BALZAR,COAST
16,DAULE,COAST
17,DURAN,COAST
18,EMPALME,COAST
19,EL TRIUNFO,COAST
20,MILAGRO,COAST
21,NARANJAL,COAST
22,SAMBORONDON,COAST
23,SANTA LUCIA,COAST
24,SALITRE,COAST
25,LOJA,INTERANDEAN
26,QUEVEDO,COAST
27,VENTANAS,COAST
28,VINCES,COAST
29,PORTOVIEJO,COAST
30,BOLIVAR,COAST
31,CHONE,COAST
32,EL CARMEN,COAST
33,FLAVIO ALFARO,COAST
34,MANTA,COAST
35,PAJAN,COAST
36,MORONA,AMAZONIA
37,SANTIAGO,AMAZONIA
38,SUCUA,AMAZONIA
39,TENA,AMAZONIA
40,PASTAZA,AMAZONIA
41,PEDRO VICENTE MALDONADO,COAST
42,SAN CRISTOBAL,GALAPAGOS
43,LAGO AGRIO,AMAZONIA
44,SHUSHUFINDI,AMAZONIA
45,ORELLANA,AMAZONIA
46,SANTO DOMINGO,COAST
47,SANTA ELENA,COAST
48,LA LIBERTAD,COAST
49,SALINAS,COAST
50,GUARANDA,COAST
51,LA MANA,INTERANDEAN
52,ARENILLAS,COAST
53,HUAQUILLAS,COAST
54,ELOY ALFARO,COAST
55,MUISNE,COAST
56,ATACAMES,COAST
57,NARANJITO,COAST
58,SAN JACINTO DE YAGUACHI,COAST
59,MACARA,INTERANDEAN
60,BABAHOYO,COAST
61,BUENA FE,COAST
62,ROCAFUERTE,COAST
63,SUCRE,COAST
64,TAISHA,AMAZONIA
65,QUITO,INTERANDEAN
66,ZAMORA,AMAZONIA
67,CHINCHIPE,AMAZONIA
68,YANTZAZA,AMAZONIA
