ID,LABEL,STATUS
1,CUENCA,INTERANDEAN
2,PAUTE,INTERANDEAN
3,CHILLANES,COAST
4,SAN MIGUEL,COAST
5,AZOGUES,INTERANDEAN
6,LA TRONCAL,INTERANDEAN
7,LATACUNGA,INTERANDEAN
8,LA MANA,INTERANDEAN
9,PANGUA,INTERANDEAN
10,PUJILI,INTERANDEAN
11,RIOBAMBA,INTERANDEAN
12,MACHALA,COAST
13,ARENILLAS,COAST
14,EL GUABO,COAST
15,HUAQUILLAS,COAST
16,PASAJE,COAST
17,PIÑAS,COAST
18,SANTA ROSA,COAST
19,ESMERALDAS,COAST
20,ELOY ALFARO,COAST
21,MUISNE,COAST
22,QUININDE,COAST
23,SAN LORENZO,COAST
24,ATACAMES,COAST
25,GUAYAQUIL,COAST
26,BALZAR,COAST
27,DAULE,COAST
28,DURAN,COAST
29,EMPALME,COAST
30,EL TRIUNFO,COAST
31,MILAGRO,COAST
32,NARANJAL,COAST
33,NARANJITO,COAST
34,SAMBORONDON,COAST
35,SAN JACINTO DE YAGUACHI,COAST
36,PLAYAS,COAST
37,LOMAS DE SARGENTILLO,COAST
38,ISIDRO AYORA,COAST
39,IBARRA,INTERANDEAN
40,LOJA,INTERANDEAN
41,CALVAS,INTERANDEAN
42,ESPINDOLA,INTERANDEAN
43,MACARA,INTERANDEAN
44,PALTAS,INTERANDEAN
45,PUYANGO,INTERANDEAN
46,BABAHOYO,COAST
47,BABA,COAST
48,PUEBLOVIEJO,COAST
49,QUEVEDO,COAST
50,URDANETA,COAST
51,VENTANAS,COAST
52,VINCES,COAST
53,BUENA FE,COAST
54,PORTOVIEJO,COAST
55,BOLIVAR,COAST
56,CHONE,COAST
57,EL CARMEN,COAST
58,FLAVIO ALFARO,COAST
59,JIPIJAPA,COAST
60,MANTA,COAST
61,PAJAN,COAST
62,PICHINCHA,COAST
63,ROCAFUERTE,COAST
64,SUCRE,COAST
65,SAN VICENTE,COAST
66,MORONA,AMAZONIA
67,SANTIAGO,AMAZONIA
68,SUCUA,AMAZONIA
69,TAISHA,AMAZONIA
70,TENA,AMAZONIA
71,QUIJOS,AMAZONIA
72,PASTAZA,AMAZONIA
73,QUITO,INTERANDEAN
74,MEJIA,INTERANDEAN
75,PEDRO VICENTE MALDONADO,INTERANDEAN
76,AMBATO,INTERANDEAN
77,ZAMORA,AMAZONIA
78,YANTZAZA,AMAZONIA
79,SANTA CRUZ,GALAPAGOS
80,LAGO AGRIO,AMAZONIA
81,SHUSHUFINDI,AMAZONIA
82,ORELLANA,AMAZONIA
83,AGUARICO,AMAZONIA
84,SANTO DOMINGO,COAST
85,SANTA ELENA,COAST
86,LA LIBERTAD,COAST
87,SALINAS,COAST
