"","PROVINCIA","CANTON","SE","NÚM..CASOS"
"1","Esmeraldas","Esmeraldas",39,4
"2","Esmeraldas","Esmeraldas",15,14
"3","Esmeraldas","Esmeraldas",12,7
"4","Esmeraldas","Esmeraldas",19,9
"5","Esmeraldas","Esmeraldas",35,6
"6","Esmeraldas","Esmeraldas",50,4
"7","Esmeraldas","Esmeraldas",36,4
"8","Esmeraldas","Esmeraldas",31,6
"9","Esmeraldas","Esmeraldas",10,12
"10","Esmeraldas","Esmeraldas",9,10
"11","Esmeraldas","Esmeraldas",11,11
"12","Esmeraldas","Esmeraldas",13,4
"13","Esmeraldas","Esmeraldas",14,6
"14","Esmeraldas","Esmeraldas",5,3
"15","Esmeraldas","Esmeraldas",8,5
"16","Esmeraldas","Esmeraldas",6,4
"17","Esmeraldas","Esmeraldas",7,5
"18","Esmeraldas","Esmeraldas",18,13
"19","Esmeraldas","Esmeraldas",20,12
"20","Esmeraldas","Esmeraldas",21,10
"21","Esmeraldas","Esmeraldas",22,5
"22","Esmeraldas","Esmeraldas",24,10
"23","Esmeraldas","Esmeraldas",23,5
"24","Esmeraldas","Esmeraldas",25,6
"25","Esmeraldas","Esmeraldas",26,3
"26","Esmeraldas","Esmeraldas",37,3
"27","Esmeraldas","Esmeraldas",38,3
"28","Esmeraldas","Esmeraldas",40,3
"29","Esmeraldas","Esmeraldas",41,2
"30","Esmeraldas","Esmeraldas",42,2
"31","Esmeraldas","Esmeraldas",16,7
"32","Esmeraldas","Esmeraldas",17,5
"33","Esmeraldas","Esmeraldas",48,2
"34","Esmeraldas","Esmeraldas",44,2
"35","Esmeraldas","Esmeraldas",46,3
"36","Esmeraldas","Esmeraldas",1,2
"37","Esmeraldas","Esmeraldas",2,3
"38","Esmeraldas","Esmeraldas",4,7
"39","Esmeraldas","Esmeraldas",27,3
"40","Esmeraldas","Esmeraldas",29,4
"41","Esmeraldas","Esmeraldas",30,2
"42","Esmeraldas","Esmeraldas",28,4
"43","Guayas","Guayaquil",16,107
"44","Guayas","Guayaquil",9,47
"45","Guayas","Guayaquil",20,99
"46","Guayas","Guayaquil",15,102
"47","Guayas","Guayaquil",18,103
"48","Guayas","Guayaquil",31,51
"49","Guayas","Guayaquil",21,129
"50","Guayas","Guayaquil",23,106
"51","Guayas","Guayaquil",7,29
"52","Guayas","Guayaquil",25,79
"53","Guayas","Guayaquil",1,15
"54","Guayas","Guayaquil",24,90
"55","Guayas","Guayaquil",45,12
"56","Guayas","Guayaquil",11,71
"57","Guayas","Guayaquil",22,101
"58","Guayas","Guayaquil",14,70
"59","Guayas","Guayaquil",19,110
"60","Guayas","Guayaquil",27,76
"61","Guayas","Guayaquil",37,18
"62","Guayas","Guayaquil",29,68
"63","Guayas","Guayaquil",40,14
"64","Guayas","Guayaquil",28,87
"65","Guayas","Guayaquil",43,13
"66","Guayas","Guayaquil",3,24
"67","Guayas","Guayaquil",2,13
"68","Guayas","Guayaquil",4,25
"69","Guayas","Guayaquil",5,29
"70","Guayas","Guayaquil",6,29
"71","Guayas","Guayaquil",8,42
"72","Guayas","Guayaquil",10,67
"73","Guayas","Guayaquil",12,74
"74","Guayas","Guayaquil",13,80
"75","Guayas","Guayaquil",17,92
"76","Guayas","Guayaquil",26,85
"77","Guayas","Guayaquil",30,54
