SOURCE,TARGET,WEIGHT
1,7,0.142857143
1,11,0.142857143
1,36,0.142857143
1,39,0.142857143
1,45,0.142857143
1,46,0.142857143
1,49,0.142857143
2,7,0.166666667
2,11,0.333333333
2,13,0.166666667
2,14,0.333333333
2,26,0.333333333
2,27,0.166666667
2,34,0.166666667
2,46,0.5
2,52,0.333333333
2,54,0.333333333
2,56,0.166666667
3,6,0.341880342
3,7,0.320512821
3,9,0.230769231
3,11,0.497557998
3,12,0.230769231
3,14,0.153846154
3,18,0.54029304
3,20,0.296703297
3,25,0.111111111
3,27,0.420634921
3,29,0.111111111
3,30,0.153846154
3,31,0.386446886
3,33,0.320512821
3,34,0.111111111
3,36,0.341880342
3,39,0.076923077
3,40,0.076923077
3,41,0.166666667
3,43,0.397435897
3,44,0.166666667
3,45,0.076923077
3,46,0.431623932
3,49,0.296703297
3,56,0.166666667
3,57,0.253968254
3,59,0.076923077
3,60,0.166666667
3,62,0.076923077
4,11,0.125
4,14,0.125
4,18,0.125
4,41,0.125
4,43,0.125
4,45,0.125
4,46,0.125
4,54,0.125
5,6,0.111111111
5,14,0.111111111
5,19,0.111111111
5,27,0.111111111
5,29,0.111111111
5,31,0.111111111
5,33,0.111111111
5,36,0.111111111
5,51,0.111111111
6,3,0.418803419
6,5,0.111111111
6,7,0.530769231
6,8,0.058823529
6,9,0.656177156
6,11,1.007211253
6,12,0.441025641
6,13,0.169934641
6,14,1.341612962
6,16,0.133333333
6,18,0.568536039
6,19,0.111111111
6,20,0.604744275
6,24,0.1
6,25,0.419934641
6,26,0.215909091
6,27,0.514379085
6,29,0.471954843
6,30,0.28959276
6,31,0.462276612
6,33,0.799456099
6,34,0.913621509
6,35,0.058823529
6,36,1.345556241
6,37,0.133333333
6,38,0.083333333
6,39,0.31025641
6,40,0.301165501
6,41,0.1
6,42,0.1
6,43,0.790268065
6,44,0.194444444
6,45,0.702413273
6,46,1.677724073
6,47,0.257575758
6,48,0.333065954
6,49,0.605011655
6,51,0.111111111
6,53,0.166666667
6,54,0.225
6,55,0.258333333
6,56,0.374242424
6,57,0.277777778
6,58,0.224242424
6,59,0.076923077
6,61,0.403267974
6,62,0.076923077
6,65,0.277777778
6,66,0.111111111
6,67,0.083333333
7,1,0.142857143
7,2,0.166666667
7,3,0.237179487
7,6,0.453846154
7,9,0.153846154
7,11,0.48452381
7,12,0.287179487
7,13,0.166666667
7,14,0.412179487
7,15,0.125
7,16,0.133333333
7,18,0.237179487
7,20,0.287179487
7,25,0.1
7,26,0.125
7,27,0.608333333
7,30,0.253846154
7,31,0.208333333
7,32,0.125
7,33,0.403846154
7,34,0.166666667
7,35,0.1
7,36,0.563369963
7,37,0.133333333
7,39,0.276190476
7,40,0.133333333
7,41,0.183333333
7,43,0.237179487
7,44,0.183333333
7,45,0.376190476
7,46,0.946703297
7,47,0.166666667
7,49,0.296703297
7,51,0.1
7,55,0.133333333
7,56,0.375
7,57,0.166666667
7,58,0.133333333
7,60,0.083333333
7,61,0.133333333
8,6,0.058823529
8,11,0.058823529
8,13,0.058823529
8,14,0.058823529
8,18,0.058823529
8,20,0.058823529
8,25,0.058823529
8,27,0.058823529
8,29,0.058823529
8,30,0.058823529
8,34,0.058823529
8,35,0.058823529
8,36,0.058823529
8,45,0.058823529
8,46,0.058823529
8,48,0.058823529
8,61,0.058823529
9,3,0.307692308
9,6,0.656177156
9,7,0.153846154
9,11,0.244755245
9,12,0.307692308
9,14,0.344755245
9,18,0.398601399
9,20,0.335664336
