"","i","j","w"
"1",1,2,7.76018653172053
"2",1,3,3.53768840425762
"3",1,4,3.50677272305179
"4",1,5,7.76018653172053
"5",1,6,6.73728610041787
"6",1,7,7.45583870563358
"7",1,8,3.03863044596806
"8",1,9,5.52710557123683
"9",1,10,6.17944053396162
"10",1,11,6.13021492555494
"11",1,12,6.67089219749552
"12",1,13,6.20914723497185
"13",1,14,4.39524660324987
"14",1,15,2.34772324072299
"15",1,16,3.57691575727954
"16",1,17,4.36670069021477
"17",1,18,6.74305959189623
"18",1,19,4.93717448605318
"19",1,20,2.821743432542
"20",1,21,4.81813879443439
"21",1,22,2.30084642149925
"22",1,23,5.2109151617426
"23",1,24,4.22532103448193
"24",1,25,0.513392857142857
"25",1,26,4.14659231258267
"26",1,27,1.53963230650606
"27",1,28,5.19024067786672
"28",1,29,1.30172372523781
"29",1,30,2.85418242829621
"30",1,31,7.24038703297367
"31",1,32,3.53845154065687
"32",1,33,4.09153535877131
"33",1,34,5.20850776689818
"34",1,35,1.50916756161648
"35",1,36,7.40833467986868
"36",1,37,0.908221408221408
"37",1,38,4.07176686565349
"38",1,39,1.8918484082404
"39",1,40,4.16430691304899
"40",1,41,0.952411477411477
"41",1,42,1.77701898354398
"42",1,43,3.68130087548045
"43",1,44,1.69185645366308
"44",1,45,4.94982959918012
"45",1,46,3.62799185444427
"46",1,47,2.83392657775873
"47",1,48,3.63756743332122
"48",1,49,5.72442522211685
"49",1,50,2.30945837652816
"50",1,51,0.645095941434614
"51",1,52,2.79346342268945
"52",1,53,5.19205100135674
"53",1,54,1.41134457800282
"54",1,55,2.64775724570518
"55",1,56,2.74584531694184
"56",1,57,3.41790490158402
"57",1,58,2.21756086354714
"58",1,59,1.93656016497098
"59",1,60,0.142857142857143
"60",1,61,0.712980891470594
"61",1,62,0.307692307692308
"62",1,63,0.222222222222222
"63",1,64,0.778532608695652
"64",1,65,0.075
"65",1,66,0.361111111111111
"66",1,67,0.517631917631918
"67",1,68,0.125
"68",1,69,1.50536173746665
"69",1,70,0.157894736842105
"70",1,71,0.425925925925926
"71",1,72,0.908980785296575
"72",1,73,0.428793811028822
"73",1,74,0.939486065379381
"74",1,75,0.525401138716356
"75",1,76,0.127631578947368
"76",1,77,0.365079365079365
"77",1,78,1.02757780010687
"78",1,79,0.233108108108108
"79",1,80,0.166666666666667
"80",1,81,0.44949494949495
"81",1,82,0.499228615507685
"82",1,83,1.96750326038182
"83",2,1,73.7058303303191
"84",2,3,36.1764689994477
"85",2,4,35.4257893337835
"86",2,5,76.5329309364478
"87",2,6,67.5779505346761
"88",2,7,74.0877963608785
"89",2,8,35.5646408484169
"90",2,9,58.0414579791568
"91",2,10,62.2590183008715
"92",2,11,63.5616444362712
"93",2,12,65.9808392933793
"94",2,13,65.6862279255622
"95",2,14,42.966514442212
"96",2,15,25.8088744316366
"97",2,16,40.0820533884417
"98",2,17,51.433556687921
"99",2,18,67.2809184975125
"100",2,19,49.5374338260404
"101",2,20,30.2208462424519
"102",2,21,48.0931516970243
"103",2,22,25.8510721916792
"104",2,23,50.9995323236819
"105",2,24,48.433724019674
"106",2,25,5.17380952380952
"107",2,26,41.9815394278441
"108",2,27,14.0415951983449
"109",2,28,47.4721552238134
"110",2,29,16.6446589895499
"111",2,30,35.1315732455702
"112",2,31,74.6302367008589
"113",2,32,36.1535777652642
"114",2,33,39.51458503536
"115",2,34,53.6162097659274
"116",2,35,19.1993471847617
"117",2,36,74.7366346401516
"118",2,37,9.73011803011803
"119",2,38,40.3614440281221
"120",2,39,22.7447928043897
"121",2,40,43.3457891894282
"122",2,41,11.821916971917
"123",2,42,22.1656134466802
"124",2,43,43.6403390573538
"125",2,44,22.9285441188998
"126",2,45,56.6465473792155
"127",2,46,35.6322811971997
"128",2,47,28.0628468363049
"129",2,48,44.82397275092
"130",2,49,59.4574223747618
"131",2,50,25.1583028513709
"132",2,51,3.45628448591835
"133",2,52,26.0105172069652
"134",2,53,50.7956831391937
"135",2,54,14.4466451320597
"136",2,55,34.0839140710089
"137",2,56,26.8978171577303
"138",2,57,36.2097814605622
"139",2,58,30.2209839434663
"140",2,59,18.3894919281075
"141",2,60,1.03571428571429
"142",2,61,6.94752097635393
"143",2,62,1.71794871794872
"144",2,63,2.86666666666667
"145",2,64,4.26222826086957
"146",2,65,2.125
"147",2,66,2.86111111111111
"148",2,67,5.86750816750817
"149",2,68,0.708333333333333
"150",2,69,19.7984566204693
"151",2,70,0.315789473684211
"152",2,71,4.06812169312169
"153",2,72,10.4934489000278
"154",2,73,5.18833435539412
"155",2,74,11.4490210582622
"156",2,75,5.13038302277433
"157",2,76,3.38815789473684
"158",2,77,5.02967032967033
"159",2,78,11.4883447463389
"160",2,79,2.54617117117117
"161",2,80,1.34126984126984
"162",2,81,5.91969696969697
"163",2,82,4.98688646363065
"164",2,83,13.8289706498102
"165",3,1,1.27366251116137
"166",3,2,1.51754210982358
"167",3,4,0.358561383706733
"168",3,5,1.51754210982358
"169",3,6,1.24446533185716
"170",3,7,1.43058558808445
"171",3,8,0.269598666837039
"172",3,9,1.49190108418255
"173",3,10,0.859240836261817
