ID,LABEL,STATUS
1,LA MANÁ,INTERANDEAN
2,SAN LORENZO,COAST
3,MACHALA,COAST
4,CHONE,COAST
5,SHUSHUFINDI,AMAZONIA
6,VENTANAS,COAST
7,SAN JACINTO DE YAGUACHI,COAST
8,EMPALME,COAST
9,MANTA,COAST
10,BUENA FÉ,COAST
11,SANTA ELENA,COAST
12,ORELLANA,AMAZONIA
13,CUENCA,INTERANDEAN
14,PEDRO VICENTE MALDONADO,COAST
15,QUEVEDO,COAST
16,TENA,AMAZONIA
17,ARENILLAS,COAST
18,NARANJITO,COAST
19,GUAYAQUIL,COAST
20,SANTO DOMINGO,COAST
21,SANTA ROSA,COAST
22,LA TRONCAL,INTERANDEAN
23,ATACAMES,COAST
24,RIOBAMBA,INTERANDEAN
25,LAGO AGRIO,AMAZONIA
26,QUININDE,COAST
27,PLAYAS,COAST
28,SALITRE,COAST
29,MILAGRO,COAST
30,PORTOVIEJO,COAST
31,PAJÁN,COAST
32,FLAVIO ALFARO,COAST
33,NARANJAL,COAST
34,ESMERALDAS,COAST
35,QUITO,INTERANDEAN
36,SALINAS,COAST
37,MUISNE,COAST
38,SUCRE,COAST
39,LA LIBERTAD,COAST
40,BABAHOYO,COAST
41,JIPIJAPA,COAST
42,GUARANDA,COAST
43,GUALACEO,INTERANDEAN
44,EL TRIUNFO,COAST
45,EL CARMEN,COAST
46,SANTIAGO,AMAZONIA
47,BOLÍVAR,COAST
48,ELOY ALFARO,COAST
49,DURÁN,COAST
50,VINCES,COAST
51,BALZAR,COAST
52,ZAMORA,AMAZONIA
53,EL GUABO,COAST
54,ROCAFUERTE,COAST
55,CHILLANES,COAST
56,GUALAQUIZA,AMAZONIA
57,AZOQUES,INTERANDEAN
58,SANTA CRUZ,GALAPAGOS
59,DAULE,COAST
60,SANTA LUCIA,COAST
61,HUAQUILLAS,COAST
62,YANTZAZA,AMAZONIA
63,SALCEDO,INTERANDEAN
64,PASAJE,COAST
65,AMBATO,INTERANDEAN
66,URDANETA,COAST
67,QUIJOS,AMAZONIA
68,ARCHIDONA,AMAZONIA
69,MORONA,AMAZONIA
70,CALVAS,INTERANDEAN
71,MACARÁ,INTERANDEAN
72,LOJA,INTERANDEAN
