"","PROVINCIA","CANTON","SE","NÚM..CASOS"
"1","1","GUALACEO",11,1
"2","1","PAUTE",40,1
"3","1","SIGSIG",7,1
"4","11","LOJA",26,3
"5","11","LOJA",11,2
"6","11","MACARA",20,6
"7","11","MACARA",27,3
"8","11","PALTAS",18,6
"9","11","PALTAS",29,3
"10","11","PALTAS",32,2
"11","11","PALTAS",19,3
"12","11","PALTAS",17,3
"13","11","PALTAS",28,4
"14","11","PALTAS",23,3
"15","11","PALTAS",33,2
"16","11","PALTAS",26,2
"17","12","BABAHOYO",4,3
"18","12","BABAHOYO",15,3
"19","12","BABAHOYO",11,2
"20","12","BABAHOYO",14,2
"21","12","BABAHOYO",19,2
"22","12","BABAHOYO",10,2
"23","12","BABAHOYO",1,3
"24","12","BABAHOYO",7,3
"25","12","BABAHOYO",9,2
"26","12","BABAHOYO",22,2
"27","12","BABAHOYO",8,2
"28","12","BABAHOYO",23,2
"29","12","BABA",23,2
"30","12","PUEBLOVIEJO",2,1
"31","12","QUEVEDO",8,3
"32","12","QUEVEDO",15,4
"33","12","QUEVEDO",47,3
"34","12","QUEVEDO",52,3
"35","12","QUEVEDO",30,2
"36","12","QUEVEDO",27,3
"37","12","QUEVEDO",7,2
"38","12","QUEVEDO",5,2
"39","12","QUEVEDO",17,4
"40","12","QUEVEDO",12,3
"41","12","QUEVEDO",13,2
"42","12","QUEVEDO",40,2
"43","12","QUEVEDO",6,5
"44","12","QUEVEDO",14,2
"45","12","QUEVEDO",2,5
"46","12","QUEVEDO",10,2
"47","12","QUEVEDO",11,6
"48","12","QUEVEDO",43,2
"49","12","QUEVEDO",22,2
"50","12","QUEVEDO",18,2
"51","12","URDANETA",4,1
"52","12","VENTANAS",13,6
"53","12","VENTANAS",17,3
"54","12","VENTANAS",8,2
"55","12","VENTANAS",2,5
"56","12","VENTANAS",3,4
"57","12","BUENA FE",13,3
"58","12","BUENA FE",6,6
"59","12","BUENA FE",5,4
"60","12","BUENA FE",9,6
"61","12","BUENA FE",12,6
"62","12","BUENA FE",8,2
"63","12","BUENA FE",10,5
"64","12","BUENA FE",2,2
"65","12","BUENA FE",7,4
"66","12","BUENA FE",15,3
"67","12","BUENA FE",11,4
"68","12","BUENA FE",3,4
"69","12","BUENA FE",40,2
"70","12","BUENA FE",24,2
"71","12","QUINSALOMA",3,2
"72","12","QUINSALOMA",1,4
"73","12","QUINSALOMA",9,2
"74","12","QUINSALOMA",2,4
"75","12","QUINSALOMA",7,4
"76","12","QUINSALOMA",16,2
"77","12","QUINSALOMA",4,2
"78","13","PORTOVIEJO",2,4
"79","13","PORTOVIEJO",14,3
"80","13","PORTOVIEJO",3,5
"81","13","PORTOVIEJO",6,8
"82","13","PORTOVIEJO",18,5
"83","13","PORTOVIEJO",22,5
"84","13","PORTOVIEJO",19,6
"85","13","PORTOVIEJO",15,5
"86","13","PORTOVIEJO",13,4
"87","13","PORTOVIEJO",16,3
"88","13","PORTOVIEJO",4,6
"89","13","PORTOVIEJO",29,4
"90","13","PORTOVIEJO",20,6
"91","13","PORTOVIEJO",12,5
"92","13","PORTOVIEJO",9,4
"93","13","PORTOVIEJO",25,4
"94","13","PORTOVIEJO",1,3
"95","13","PORTOVIEJO",17,4
